Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   4/5  21/06/22  03:02:10  21/06/22  03:02:11.230      1.230     54.53501      8.88123        -2.89     3.0         0.4             0.0        0.00
    2          Valid   6/6  21/06/24  07:15:10  21/06/24  07:15:10.996      0.996     54.54345      8.93550        40.47     1.8         0.9             0.0        0.00
    3          Valid   6/6  21/06/24  07:18:10  21/06/24  07:18:11.524      1.524     54.54346      8.93567        47.17     1.8         0.7             0.0        0.00
    4          Valid   4/4  21/06/24  07:21:10  21/06/24  07:21:10.996      0.996     54.54348      8.93560        47.17     3.7         0.5             0.0        0.00
    5          Valid   7/7  21/06/24  07:24:11  21/06/24  07:24:12.010      1.010     54.54345      8.93570        47.05     1.5         0.9             0.0        0.00
    6          Valid   8/8  21/06/24  09:30:09  21/06/24  09:30:10.260      1.260     54.54345      8.93564        41.11     1.3         2.2             0.0        0.00
    7          Valid   7/7  21/06/24  09:33:09  21/06/24  09:33:10.231      1.231     54.54348      8.93549        44.02     1.5         2.5             0.0        0.00
    8          Valid   6/6  21/06/24  09:36:08  21/06/24  09:36:09.231      1.231     54.54348      8.93561        47.30     2.3         0.8             0.0        0.00
    9          Valid   8/8  21/06/24  09:39:05  21/06/24  09:39:06.216      1.216     54.54346      8.93564        42.67     1.0         1.5             0.0        0.00
   10          Valid   7/7  21/06/26  06:00:04  21/06/26  06:00:00.331     -3.669     54.54114      8.89443        39.09     1.2         1.8             0.0        0.00
   11          Valid   6/6  21/06/26  06:20:05  21/06/26  06:20:01.302     -3.698     54.54075      8.89444        39.62     2.0         1.5             0.0        0.00
   12          Valid   4/4  21/06/26  06:40:08  21/06/26  06:40:04.304     -3.696     54.54113      8.89441        39.62     2.9         0.2             0.0        0.00
   13          Valid   5/5  21/06/26  07:00:11  21/06/26  07:00:06.801     -4.199     54.54111      8.89437        39.43     1.8         0.7             0.0        0.00
   14          Valid   6/6  21/06/26  07:20:04  21/06/26  07:20:04.252      0.252     54.54101      8.89470        39.89     2.6         0.3             0.0        0.00
   15          Valid   8/8  21/06/26  07:40:08  21/06/26  07:40:08.205      0.205     54.54018      8.89380        38.91     1.1         0.5             0.0        0.00
   16          Valid   7/7  21/06/26  08:00:06  21/06/26  08:00:06.162      0.162     54.54104      8.89457        41.40     1.2         1.8             0.0        0.00
   17          Valid   5/5  21/06/26  08:20:07  21/06/26  08:20:07.132      0.132     54.54109      8.89441        35.43     1.7         1.0             0.0        0.00
   18          Valid   7/8  21/06/26  08:40:07  21/06/26  08:40:07.054      0.054     54.53967      8.89281        37.82     2.4         0.9             0.0        0.00
