Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   8/9  22/06/03  03:30:07  22/06/03  03:30:08.169      1.169     54.54113      8.93265        35.32     1.0         1.9             0.0        0.00
    2          Valid   8/9  22/06/04  03:00:11  22/06/04  03:00:09.206     -1.794     54.54112      8.92073        37.15     1.1         0.8             0.0        0.00
    3          Valid   6/7  22/06/04  03:20:04  22/06/04  03:20:02.598     -1.402     54.54110      8.92069        38.18     1.1         1.0             0.0        0.00
    4          Valid   5/6  22/06/04  03:40:04  22/06/04  03:40:02.597     -1.403     54.54114      8.92069        38.12     2.1         0.5             0.0        0.00
    5          Valid   6/7  22/06/04  04:00:06  22/06/04  04:00:04.564     -1.436     54.54113      8.92071        39.32     1.5         1.3             0.0        0.00
    6          Valid   6/7  22/06/04  04:20:05  22/06/04  04:20:03.535     -1.465     54.54110      8.92078        40.17     1.8         0.5             0.0        0.00
    7          Valid   6/7  22/06/04  04:40:09  22/06/04  04:40:07.482     -1.518     54.54113      8.92067        41.03     1.5         0.3             0.0        0.00
    8          Valid   6/6  22/06/04  05:00:09  22/06/04  05:00:07.410     -1.590     54.54113      8.92068        39.78     1.5         1.0             0.0        0.00
    9          Valid   7/7  22/06/04  05:20:06  22/06/04  05:20:04.411     -1.589     54.54112      8.92067        39.73     1.2         0.9             0.0        0.00
   10          Valid   6/6  22/06/04  05:40:05  22/06/04  05:40:03.374     -1.626     54.54112      8.92070        39.75     2.2         0.4             0.0        0.00
   11          Valid   9/9  22/06/04  06:00:07  22/06/04  06:00:05.335     -1.665     54.54111      8.92104        41.27     1.0         1.2             0.0        0.00
   12          Valid   8/8  22/06/04  06:20:04  22/06/04  06:20:02.248     -1.752     54.54124      8.92098        38.55     1.1         0.6             0.0        0.00
   13          Valid   5/5  22/06/04  06:40:09  22/06/04  06:40:07.214     -1.786     54.54108      8.92118        38.52     1.4         0.2             0.0        0.00
   14          Valid   7/7  22/06/04  07:00:04  22/06/04  07:00:02.222     -1.778     54.54116      8.92075        39.72     4.4         0.4             0.0        0.00
   15          Valid   6/6  22/06/04  07:20:05  22/06/04  07:20:03.190     -1.810     54.54116      8.92079        33.10     1.8         1.8             0.0        0.00
   16          Valid   8/8  22/06/04  07:40:08  22/06/04  07:40:06.092     -1.908     54.54108      8.92067        37.22     1.4         1.1             0.0        0.00
   17          Valid   7/7  22/06/04  08:00:06  22/06/04  08:00:04.063     -1.937     54.54113      8.92072        40.63     1.3         0.7             0.0        0.00
   18          Valid   9/9  22/06/04  08:20:04  22/06/04  08:20:02.037     -1.963     54.54108      8.92122        43.58     1.0         1.1             0.0        0.00
   19          Valid   9/9  22/06/04  08:40:07  22/06/04  08:40:05.043     -1.957     54.53834      8.91487        34.00     1.0         1.2             0.0        0.00
   20          Valid   9/9  22/06/04  09:00:05  22/06/04  09:00:03.003     -1.997     54.53836      8.91485        41.49     0.9         0.5             0.0        0.00
   21          Valid   6/6  22/06/04  09:20:04  22/06/04  09:20:01.913     -2.087     54.54117      8.92074        38.63     1.3         0.9             0.0        0.00
   22          Valid   7/7  22/06/04  09:40:04  22/06/04  09:40:01.888     -2.112     54.54108      8.92072        33.16     1.2         0.6             0.0        0.00
   23          Valid   8/8  22/06/04  10:00:09  22/06/04  10:00:06.850     -2.150     54.54110      8.92075        38.67     1.4         1.2             0.0        0.00
   24          Valid   6/6  22/06/04  10:20:04  22/06/04  10:20:01.816     -2.184     54.54328      8.93008        37.18     2.4         0.5             0.0        0.00
   25          Valid   8/8  22/06/04  10:40:10  22/06/04  10:40:07.206     -2.794     54.54347      8.93222        40.69     1.0         2.3             0.0        0.00
   26          Valid   9/9  22/06/04  11:00:09  22/06/04  11:00:06.743     -2.257     54.54358      8.93224        43.71     1.1         1.8             0.0        0.00
   27          Valid   6/6  22/06/04  11:20:06  22/06/04  11:20:03.725     -2.275     54.54111      8.92066        37.82     1.4         0.6             0.0        0.00
