Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   7/8  22/06/12  16:00:07  22/06/12  16:00:07.273      0.273     54.54060      8.93086        37.19     2.2         0.8             0.0        0.00
    2          Valid   7/7  22/06/14  02:40:11  22/06/14  02:40:06.800     -4.200     54.53776      8.88720        39.98     1.3         0.8             0.0        0.00
    3          Valid   6/7  22/06/14  03:00:04  22/06/14  03:00:04.405      0.405     54.53779      8.88724        38.07     2.0         0.6             0.0        0.00
    4          Valid   7/7  22/06/14  03:20:07  22/06/14  03:20:07.370      0.370     54.53778      8.88724        41.06     1.3         0.9             0.0        0.00
    5          Valid   6/6  22/06/14  03:40:11  22/06/14  03:40:10.810     -0.190     54.53770      8.88727        39.70     1.2         0.8             0.0        0.00
    6          Valid   7/7  22/06/14  04:00:07  22/06/14  04:00:07.293      0.293     54.53777      8.88718        39.00     1.3         0.4             0.0        0.00
    7          Valid   7/8  22/06/14  04:20:09  22/06/14  04:20:09.251      0.251     54.53779      8.88713        43.59     2.7         1.0             0.0        0.00
    8          Valid   7/7  22/06/14  04:40:08  22/06/14  04:40:08.219      0.219     54.53768      8.88731        43.04     1.3         0.4             0.0        0.00
    9          Valid   7/7  22/06/14  05:00:05  22/06/14  05:00:05.131      0.131     54.54016      8.87643        38.89     1.3         0.6             0.0        0.00
   10          Valid   8/8  22/06/14  05:20:04  22/06/14  05:20:04.104      0.104     54.54012      8.87647        39.28     1.0         0.5             0.0        0.00
   11          Valid   9/9  22/06/14  05:40:06  22/06/14  05:40:06.101      0.101     54.54020      8.87672        39.57     0.9         0.8             0.0        0.00
   12          Valid   9/9  22/06/14  06:00:07  22/06/14  06:00:07.018      0.018     54.54013      8.87637        40.75     1.0         0.8             0.0        0.00
   13          Valid   8/8  22/06/14  06:20:05  22/06/14  06:20:05.036      0.036     54.53778      8.88721        39.26     1.2         1.3             0.0        0.00
   14          Valid   7/7  22/06/14  06:40:06  22/06/14  06:40:05.947     -0.053     54.53778      8.88727        40.43     1.7         2.1             0.0        0.00
   15          Valid   7/7  22/06/14  07:00:05  22/06/14  07:00:04.958     -0.042     54.53782      8.88724        39.85     1.9         0.7             0.0        0.00
   16          Valid   8/8  22/06/14  07:20:08  22/06/14  07:20:07.927     -0.073     54.53777      8.88728        37.72     1.4         1.1             0.0        0.00
   17          Valid   7/7  22/06/14  07:40:07  22/06/14  07:40:06.842     -0.158     54.53779      8.88723        39.58     1.4         0.9             0.0        0.00
   18          Valid   7/7  22/06/14  08:00:08  22/06/14  08:00:07.847     -0.153     54.53776      8.88724        42.32     1.1         1.5             0.0        0.00
   19          Valid   7/7  22/06/14  08:20:05  22/06/14  08:20:04.758     -0.242     54.53780      8.88727        38.50     1.1         1.8             0.0        0.00
   20          Valid   7/7  22/06/14  08:40:05  22/06/14  08:40:04.771     -0.229     54.54028      8.87720        44.34     1.1         1.2             0.0        0.00
   21          Valid   7/7  22/06/14  09:00:07  22/06/14  09:00:06.733     -0.267     54.53780      8.88722        42.24     1.4         1.1             0.0        0.00
   22          Valid   6/6  22/06/14  09:20:07  22/06/14  09:20:06.701     -0.299     54.53781      8.88723        41.50     1.6         0.6             0.0        0.00
   23          Valid   8/8  22/06/14  09:40:05  22/06/14  09:40:04.665     -0.335     54.53755      8.88741        41.85     1.0         0.5             0.0        0.00
   24          Valid   8/8  22/06/14  10:00:08  22/06/14  10:00:07.573     -0.427     54.53248      8.90140        41.87     1.2         0.8             0.0        0.00
   25          Valid   7/7  22/06/14  10:20:09  22/06/14  10:20:08.550     -0.450     54.53219      8.90082        40.65     1.5         1.1             0.0        0.00
   26          Valid   6/6  22/06/14  10:40:10  22/06/14  10:40:09.514     -0.486     54.53287      8.90905        40.92     1.4         0.5             0.0        0.00
   27          Valid   7/7  22/06/14  11:00:09  22/06/14  11:00:08.479     -0.521     54.53254      8.90685        43.50     1.1         0.8             0.0        0.00
   28          Valid   9/9  22/06/14  11:20:08  22/06/14  11:20:07.443     -0.557     54.53248      8.90699        49.84     0.9         1.5             0.0        0.00
   29          Valid   9/9  22/06/14  11:40:09  22/06/14  11:40:08.458     -0.542     54.53248      8.90661        41.85     1.0         1.4             0.0        0.00
   30          Valid   7/7  22/06/14  12:00:04  22/06/14  12:00:03.422     -0.578     54.53260      8.90632        42.58     1.4         0.6             0.0        0.00
   31          Valid   8/8  22/06/14  12:20:11  22/06/14  12:20:09.803     -1.197     54.53258      8.90622        43.50     1.5         3.5             0.0        0.00
