Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   6/6  21/06/22  03:05:08  21/06/22  03:05:09.990      1.990     54.53498      8.88092        43.49     1.2         0.7             0.0        0.00
    2          Valid   7/7  21/06/26  06:00:10  21/06/26  06:00:00.805     -9.195     54.54295      8.90856        39.83     1.0         0.8             0.0        0.00
    3          Valid   6/6  21/06/26  06:20:04  21/06/26  06:20:04.133      0.133     54.54843      8.90684        38.87     2.2         0.5             0.0        0.00
    4          Valid   6/6  21/06/26  06:40:11  21/06/26  06:40:11.213      0.213     54.54855      8.90670        50.17     2.4         2.5             0.0        0.00
    5          Valid   5/5  21/06/26  07:00:10  21/06/26  07:00:09.399     -0.601     54.54300      8.90870        44.10     3.0         1.0             0.0        0.00
    6          Valid   8/8  21/06/26  07:20:09  21/06/26  07:20:09.064      0.064     54.54314      8.90843        43.49     1.2         0.7             0.0        0.00
    7          Valid   6/6  21/06/26  07:40:04  21/06/26  07:40:03.994     -0.006     54.54310      8.90882        42.64     1.3         1.5             0.0        0.00
    8          Valid   7/7  21/06/26  08:00:04  21/06/26  08:00:03.959     -0.041     54.54293      8.90876        37.38     1.1         0.9             0.0        0.00
    9          Valid   7/7  21/06/26  08:20:04  21/06/26  08:20:03.929     -0.071     54.54292      8.90898        38.76     1.1         1.0             0.0        0.00
   10          Valid   8/8  21/06/26  08:40:08  21/06/26  08:40:07.888     -0.112     54.54318      8.90876        37.56     1.1         0.7             0.0        0.00
   11          Valid   7/7  21/06/26  09:00:04  21/06/26  09:00:03.857     -0.143     54.54316      8.90873        38.86     1.3         0.6             0.0        0.00
   12          Valid   6/6  21/06/26  09:20:04  21/06/26  09:20:03.820     -0.180     54.54313      8.90874        37.22     1.6         0.7             0.0        0.00
   13          Valid   9/9  21/06/26  09:40:06  21/06/26  09:40:05.821     -0.179     54.54294      8.90831        43.14     0.9         1.2             0.0        0.00
   14          Valid   6/6  21/06/26  10:00:04  21/06/26  10:00:03.754     -0.246     54.54317      8.90875        42.84     2.3         0.4             0.0        0.00
   15          Valid   7/7  21/06/26  10:20:05  21/06/26  10:20:04.756     -0.244     54.54958      8.90686        43.03     1.4         0.3             0.0        0.00
   16          Valid   7/7  21/06/26  10:40:04  21/06/26  10:40:03.689     -0.311     54.54972      8.90783        42.31     1.6         0.5             0.0        0.00
   17          Valid   7/7  21/06/26  11:00:04  21/06/26  11:00:03.695     -0.305     54.54819      8.90646        42.04     1.3         0.6             0.0        0.00
   18          Valid   8/8  21/06/26  11:20:04  21/06/26  11:20:03.659     -0.341     54.54319      8.90875        44.94     1.1         0.9             0.0        0.00
   19          Valid   8/8  21/06/26  11:40:04  21/06/26  11:40:03.592     -0.408     54.54317      8.90872        43.31     1.0         0.9             0.0        0.00
   20          Valid   7/7  21/06/26  12:00:04  21/06/26  12:00:03.559     -0.441     54.54841      8.90855        40.47     1.1         0.8             0.0        0.00
   21          Valid   6/6  21/06/26  12:20:05  21/06/26  12:20:04.536     -0.464     54.54831      8.90871        39.38     1.8         0.6             0.0        0.00
   22          Valid   9/9  21/06/26  12:40:06  21/06/26  12:40:05.499     -0.501     54.54832      8.90725        41.82     0.9         1.4             0.0        0.00
   23          Valid   6/6  21/06/26  13:00:04  21/06/26  13:00:03.465     -0.535     54.54316      8.90879        40.74     1.2         0.8             0.0        0.00
   24          Valid   6/6  21/06/26  13:20:07  21/06/26  13:20:06.427     -0.573     54.54319      8.90876        41.25     1.4         1.4             0.0        0.00
