Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   5/6  22/05/17  16:02:05  22/05/17  16:02:05.655      0.655     54.54077      8.89505        27.30     2.5         1.0             0.0        0.00
    2          Valid   9/9  22/05/18  16:02:11  22/05/18  16:02:08.397     -2.603     54.53811      8.88715        36.68     0.9         1.0             0.0        0.00
    3          Valid   6/7  22/05/19  03:20:04  22/05/19  03:20:00.804     -3.196     54.53813      8.88714        38.71     1.6         1.4             0.0        0.00
    4          Valid   7/7  22/05/19  03:40:04  22/05/19  03:40:00.764     -3.236     54.53774      8.88766        39.55     1.4         0.4             0.0        0.00
    5          Valid   6/7  22/05/19  04:00:04  22/05/19  04:00:00.729     -3.271     54.53805      8.88730        39.87     1.2         0.4             0.0        0.00
    6          Valid   6/7  22/05/19  04:20:04  22/05/19  04:20:00.694     -3.306     54.53813      8.88712        41.08     1.8         0.6             0.0        0.00
    7          Valid   6/6  22/05/19  04:40:04  22/05/19  04:40:00.659     -3.341     54.53817      8.88713        39.13     1.1         1.4             0.0        0.00
    8          Valid   6/7  22/05/19  05:00:04  22/05/19  05:00:00.622     -3.378     54.53819      8.88710        38.47     2.1         0.6             0.0        0.00
    9          Valid   6/6  22/05/19  05:20:05  22/05/19  05:20:01.588     -3.412     54.53814      8.88718        40.93     1.3         0.9             0.0        0.00
   10          Valid   8/8  22/05/19  05:40:08  22/05/19  05:40:04.552     -3.448     54.53812      8.88723        41.20     1.1         1.9             0.0        0.00
   11          Valid   5/6  22/05/19  06:00:09  22/05/19  06:00:05.517     -3.483     54.53810      8.88714        40.58     1.7         0.5             0.0        0.00
   12          Valid   6/7  22/05/19  06:20:11  22/05/19  06:20:06.600     -4.400     54.53745      8.88791        41.66     1.7         0.5             0.0        0.00
   13          Valid   5/6  22/05/19  06:40:07  22/05/19  06:40:07.449      0.449     54.53813      8.88720        41.29     2.6         0.6             0.0        0.00
   14          Valid   5/6  22/05/19  07:00:05  22/05/19  07:00:05.408      0.408     54.53814      8.88718        41.18     3.2         0.1             0.0        0.00
   15          Valid   8/9  22/05/19  07:20:04  22/05/19  07:20:04.371      0.371     54.53800      8.88715        39.20     0.9         0.5             0.0        0.00
   16          Valid   8/9  22/05/19  07:40:04  22/05/19  07:40:04.345      0.345     54.53765      8.88751        37.91     1.1         0.5             0.0        0.00
   17          Valid   7/8  22/05/19  08:00:10  22/05/19  08:00:09.796     -0.204     54.53814      8.88716        38.50     1.4         0.4             0.0        0.00
   18          Valid   7/8  22/05/19  08:20:04  22/05/19  08:20:04.279      0.279     54.53813      8.88714        39.43     1.6         0.9             0.0        0.00
   19          Valid   7/7  22/05/19  08:40:10  22/05/19  08:40:09.607     -0.393     54.53819      8.88712        39.02     2.3         1.0             0.0        0.00
   20          Valid   5/6  22/05/19  09:00:04  22/05/19  09:00:04.265      0.265     54.53963      8.87718        39.75     1.2         0.4             0.0        0.00
   21          Valid   5/6  22/05/19  09:20:04  22/05/19  09:20:04.175      0.175     54.53781      8.88778        40.81     1.3         0.7             0.0        0.00
   22          Valid   7/7  22/05/19  09:40:06  22/05/19  09:40:06.139      0.139     54.53814      8.88718        40.73     1.6         1.7             0.0        0.00
   23          Valid   8/9  22/05/19  10:00:04  22/05/19  10:00:04.154      0.154     54.53789      8.88744        39.43     1.1         0.5             0.0        0.00
   24          Valid   9/9  22/05/19  10:20:04  22/05/19  10:20:04.069      0.069     54.53799      8.88729        43.40     0.9         1.3             0.0        0.00
   25          Valid   6/6  22/05/19  10:40:08  22/05/19  10:40:08.037      0.037     54.53814      8.88712        42.80     2.0         0.2             0.0        0.00
   26          Valid   4/4  22/05/19  11:00:11  22/05/19  11:00:10.393     -0.607     54.53813      8.88716        42.80     2.8         0.2             0.0        0.00
   27          Valid   7/7  22/05/19  11:20:07  22/05/19  11:20:06.975     -0.025     54.53781      8.88786        38.00     1.0         0.8             0.0        0.00
   28          Valid   7/7  22/05/19  11:40:04  22/05/19  11:40:03.941     -0.059     54.53784      8.88785        41.44     1.5         1.3             0.0        0.00
   29          Valid   6/6  22/05/19  12:00:08  22/05/19  12:00:07.903     -0.097     54.53813      8.88724        40.61     1.8         0.5             0.0        0.00
   30          Valid   7/7  22/05/19  12:20:07  22/05/19  12:20:06.874     -0.126     54.53812      8.88717        34.08     1.1         1.5             0.0        0.00
   31          Valid   7/7  22/05/19  12:40:07  22/05/19  12:40:06.834     -0.166     54.53734      8.88861        41.99     1.1         1.1             0.0        0.00
   32          Valid   6/6  22/05/19  13:00:04  22/05/19  13:00:03.851     -0.149     54.53730      8.88850        35.11     2.1         0.7             0.0        0.00
   33          Valid   6/6  22/05/19  13:20:04  22/05/19  13:20:03.815     -0.185     54.53758      8.88750        34.11     3.1         0.4             0.0        0.00
   34          Valid   9/9  22/05/19  13:40:05  22/05/19  13:40:04.728     -0.272     54.53726      8.88837        35.92     1.0         0.8             0.0        0.00
   35          Valid   5/5  22/05/19  14:00:07  22/05/19  14:00:06.697     -0.303     54.53816      8.88713        41.15     2.1         0.6             0.0        0.00
   36          Valid   6/6  22/05/19  14:20:04  22/05/19  14:20:03.708     -0.292     54.53810      8.88722        37.76     2.1         0.6             0.0        0.00
   37          Valid   7/7  22/05/19  14:40:05  22/05/19  14:40:04.686     -0.314     54.53721      8.88832        34.38     2.6         0.9             0.0        0.00
   38          Valid   9/9  22/05/19  15:00:09  22/05/19  15:00:08.639     -0.361     54.53775      8.88762        35.91     1.1         0.8             0.0        0.00
   39          Valid   8/8  22/05/19  15:20:07  22/05/19  15:20:06.609     -0.391     54.53813      8.88717        35.66     1.2         0.8             0.0        0.00
   40          Valid   7/8  22/05/19  15:40:08  22/05/19  15:40:07.573     -0.427     54.53813      8.88723        37.53     1.5         1.3             0.0        0.00
   41          Valid   6/6  22/05/19  16:00:08  22/05/19  16:00:07.539     -0.461     54.53812      8.88717        37.11     1.6         0.6             0.0        0.00
   42          Valid   7/7  22/05/19  16:02:07  22/05/19  16:02:06.535     -0.465     54.53812      8.88715        37.01     1.3         0.8             0.0        0.00
   43          Valid   5/6  22/05/19  16:20:04  22/05/19  16:20:03.501     -0.499     54.53785      8.88752        36.34     6.7         1.3             0.0        0.00
   44          Valid   5/6  22/05/19  16:40:04  22/05/19  16:40:03.427     -0.573     54.53779      8.88749        35.14     1.4         0.6             0.0        0.00
   45          Valid   5/6  22/05/19  17:00:05  22/05/19  17:00:04.425     -0.575     54.53817      8.88720        35.38     1.9         0.2             0.0        0.00
   46          Valid   8/9  22/05/19  17:20:08  22/05/19  17:20:07.392     -0.608     54.53814      8.88711        39.15     1.3         1.5             0.0        0.00
   47          Valid   6/7  22/05/19  17:40:04  22/05/19  17:40:03.363     -0.637     54.53817      8.88715        38.07     1.5         0.9             0.0        0.00
   48          Valid   6/6  22/05/19  18:00:09  22/05/19  18:00:08.328     -0.672     54.53814      8.88716        36.92     1.7         0.6             0.0        0.00
   49          Valid   6/6  22/05/19  18:20:05  22/05/19  18:20:04.288     -0.712     54.53813      8.88719        37.49     1.2         0.6             0.0        0.00
   50          Valid   8/8  22/05/19  18:40:04  22/05/19  18:40:03.215     -0.785     54.53815      8.88713        38.52     1.1         0.4             0.0        0.00
   51          Valid   8/9  22/05/19  19:00:07  22/05/19  19:00:06.179     -0.821     54.53814      8.88717        43.23     1.1         0.9             0.0        0.00
   52          Valid   8/8  22/05/19  19:20:04  22/05/19  19:20:03.145     -0.855     54.53723      8.88823        41.39     1.0         0.8             0.0        0.00
   53          Valid   7/7  22/05/19  19:40:05  22/05/19  19:40:04.103     -0.897     54.53729      8.88851        43.26     1.1         0.8             0.0        0.00
   54          Valid   5/6  22/05/19  20:00:10  22/05/19  20:00:09.064     -0.936     54.53787      8.88755        40.39     1.3         0.8             0.0        0.00
