"tag_ID"	"timestamp_simple"	"fix_number"	"timestamp"	"satellites"	"latitude"	"longitude"	"elevation"	"battery"	"ring"	"sex"	"code"	"optional"
"1"	"NF55584"	2021-05-21	"01"	2021-05-21 01:00:17	8	38.758927	-8.924123	40.75	4.2	"D35644"	"M"	"NA"	TRUE
"2"	"NF55584"	2021-05-21	"02"	2021-05-21 05:00:17	8	38.744824	-8.975671	42	4.18	"D35644"	"M"	"NA"	TRUE
"3"	"NF55584"	2021-05-21	"03"	2021-05-21 09:00:17	6	38.747329	-8.921209	50.75	4.18	"D35644"	"M"	"NA"	TRUE
"4"	"NF55584"	2021-05-21	"04"	2021-05-21 13:00:18	7	38.747844	-8.921589	40.25	4.18	"D35644"	"M"	"NA"	TRUE
"5"	"NF55584"	2021-05-21	"05"	2021-05-21 17:00:18	8	38.748391	-8.92128	35.75	4.18	"D35644"	"M"	"NA"	TRUE
"6"	"NF55584"	2021-05-21	"06"	2021-05-21 21:00:18	8	38.744962	-8.976113	40.25	4.18	"D35644"	"M"	"NA"	TRUE
"7"	"NF55584"	2021-05-22	"07"	2021-05-22 01:00:21	7	38.745073	-8.976345	53.75	4.18	"D35644"	"M"	"NA"	TRUE
"8"	"NF55584"	2021-05-22	"08"	2021-05-22 05:00:18	8	38.744857	-8.976021	47.25	4.18	"D35644"	"M"	"NA"	TRUE
"9"	"NF55584"	2021-05-22	"09"	2021-05-22 09:00:18	7	38.744747	-8.975716	49.75	4.18	"D35644"	"M"	"NA"	TRUE
"10"	"NF55584"	2021-05-29	"42"	2021-05-29 13:00:23	6	38.742945	-8.976523	36.5	3.9	"D35644"	"M"	"NA"	TRUE
"11"	"NF55584"	2021-05-29	"43"	2021-05-29 21:00:29	5	38.742771	-8.976179	34.5	3.9	"D35644"	"M"	"NA"	TRUE
"12"	"NF55584"	2021-05-30	"45"	2021-05-30 13:00:24	8	38.742985	-8.976499	55	3.88	"D35644"	"M"	"NA"	TRUE
"13"	"NF55584"	2021-05-30	"46"	2021-05-30 21:00:27	7	38.742983	-8.976571	56	3.9	"D35644"	"M"	"NA"	TRUE
"14"	"NF55584"	2021-05-31	"48"	2021-05-31 13:00:24	8	38.742978	-8.97651	40.5	3.88	"D35644"	"M"	"NA"	TRUE
"15"	"NF55584"	2021-05-31	"49"	2021-05-31 21:00:28	6	38.742996	-8.976517	60	3.88	"D35644"	"M"	"NA"	TRUE
"16"	"NF55584"	2021-06-01	"50"	2021-06-01 05:00:27	7	38.742927	-8.976508	53.75	3.88	"D35644"	"M"	"NA"	TRUE
"17"	"NF55584"	2021-06-01	"51"	2021-06-01 13:00:25	6	38.743027	-8.976298	79.25	3.88	"D35644"	"M"	"NA"	TRUE
"18"	"NF55584"	2021-06-01	"52"	2021-06-01 21:00:31	5	38.742982	-8.976762	45.5	3.88	"D35644"	"M"	"NA"	TRUE
"19"	"NF55584"	2021-06-02	"53"	2021-06-02 05:00:33	6	38.742891	-8.976434	31.5	3.88	"D35644"	"M"	"NA"	TRUE
"20"	"NF55584"	2021-06-02	"54"	2021-06-02 13:00:26	6	38.743019	-8.976276	78.75	3.86	"D35644"	"M"	"NA"	TRUE
"21"	"NF55584"	2021-06-03	"55"	2021-06-03 01:00:32	5	38.742717	-8.976905	-50	3.86	"D35644"	"M"	"NA"	TRUE
"22"	"NF55584"	2021-06-03	"56"	2021-06-03 13:00:26	7	38.742921	-8.976462	38.75	3.86	"D35644"	"M"	"NA"	TRUE
"23"	"NF55584"	2021-06-04	"57"	2021-06-04 01:00:27	6	38.742899	-8.976504	30.75	3.86	"D35644"	"M"	"NA"	TRUE
