"tag_ID"	"timestamp_simple"	"fix_number"	"timestamp"	"satellites"	"latitude"	"longitude"	"elevation"	"battery"	"ring"	"sex"	"code"	"optional"
"1"	"NF55584"	2021-06-12	"02"	2021-06-12 05:00:16	7	38.745333	-8.976223	31	4.22	"D59946"	"M"	"NA"	TRUE
"2"	"NF55584"	2021-06-12	"03"	2021-06-12 09:00:17	6	38.747555	-8.976652	49.75	4.2	"D59946"	"M"	"NA"	TRUE
"3"	"NF55584"	2021-06-12	"04"	2021-06-12 13:00:17	8	38.743861	-8.975394	37.75	4.22	"D59946"	"M"	"NA"	TRUE
"4"	"NF55584"	2021-06-12	"05"	2021-06-12 17:00:17	8	38.737301	-8.991428	43.5	4.22	"D59946"	"M"	"NA"	TRUE
"5"	"NF55584"	2021-06-12	"06"	2021-06-12 21:00:23	5	38.743782	-8.975602	47.75	4.22	"D59946"	"M"	"NA"	TRUE
"6"	"NF55584"	2021-06-13	"08"	2021-06-13 05:00:17	9	38.74192	-8.977724	47	4.2	"D59946"	"M"	"NA"	TRUE
"7"	"NF55584"	2021-06-13	"09"	2021-06-13 09:00:23	5	38.740622	-8.977482	22	4.2	"D59946"	"M"	"NA"	TRUE
"8"	"NF55584"	2021-06-13	"10"	2021-06-13 13:00:18	8	38.749031	-8.973371	33.75	4.2	"D59946"	"M"	"NA"	TRUE
"9"	"NF55584"	2021-06-13	"11"	2021-06-13 17:00:18	9	38.740025	-8.994718	23.25	4.2	"D59946"	"M"	"NA"	TRUE
"10"	"NF55584"	2021-06-13	"12"	2021-06-13 21:00:27	5	38.743753	-8.975419	38.75	4.2	"D59946"	"M"	"NA"	TRUE
"11"	"NF55584"	2021-06-14	"14"	2021-06-14 05:00:18	8	38.740765	-8.977672	56	4.18	"D59946"	"M"	"NA"	TRUE
"12"	"NF55584"	2021-06-14	"15"	2021-06-14 09:00:22	7	38.741599	-8.978238	59.75	4.18	"D59946"	"M"	"NA"	TRUE
"13"	"NF55584"	2021-06-14	"16"	2021-06-14 13:00:19	8	38.748022	-8.975911	46	4.18	"D59946"	"M"	"NA"	TRUE
"14"	"NF55584"	2021-06-14	"17"	2021-06-14 17:00:19	8	38.74199	-8.97776	49.5	4.2	"D59946"	"M"	"NA"	TRUE
"15"	"NF55584"	2021-06-15	"20"	2021-06-15 05:00:19	8	38.741546	-8.978242	39.5	4.18	"D59946"	"M"	"NA"	TRUE
"16"	"NF55584"	2021-06-15	"21"	2021-06-15 09:00:21	7	38.741349	-8.983372	62.25	4.16	"D59946"	"M"	"NA"	TRUE
"17"	"NF55584"	2021-06-15	"22"	2021-06-15 13:00:20	8	38.736196	-9.009751	44.75	4.18	"D59946"	"M"	"NA"	TRUE
"18"	"NF55584"	2021-06-15	"23"	2021-06-15 17:00:20	9	38.741987	-8.977749	54	4.18	"D59946"	"M"	"NA"	TRUE
"19"	"NF55584"	2021-06-16	"25"	2021-06-16 01:00:28	5	38.743011	-8.975717	20.75	4.16	"D59946"	"M"	"NA"	TRUE
"20"	"NF55584"	2021-06-16	"26"	2021-06-16 05:00:20	8	38.741892	-8.977702	44	4.16	"D59946"	"M"	"NA"	TRUE
"21"	"NF55584"	2021-06-16	"27"	2021-06-16 09:00:23	7	38.739911	-8.994659	63.75	4.16	"D59946"	"M"	"NA"	TRUE
"22"	"NF55584"	2021-06-16	"28"	2021-06-16 13:00:20	8	38.746704	-8.979487	46.5	4.16	"D59946"	"M"	"NA"	TRUE
