"tag_ID"	"timestamp_simple"	"fix_number"	"timestamp"	"satellites"	"latitude"	"longitude"	"elevation"	"battery"	"ring"	"sex"	"code"	"optional"
"1"	"NF55808"	2021-05-15	"01"	2021-05-15 01:00:20	7	38.655615	-9.089536	44.5	4.14	"D59932"	"F"	"NA"	TRUE
"2"	"NF55808"	2021-05-15	"02"	2021-05-15 05:00:19	8	38.660095	-9.090632	43.5	4.14	"D59932"	"F"	"NA"	TRUE
"3"	"NF55808"	2021-05-15	"03"	2021-05-15 09:00:19	6	38.657259	-9.09011	44.5	4.14	"D59932"	"F"	"NA"	TRUE
"4"	"NF55808"	2021-05-15	"04"	2021-05-15 13:00:19	6	38.657657	-9.090503	43	4.14	"D59932"	"F"	"NA"	TRUE
"5"	"NF55808"	2021-05-15	"05"	2021-05-15 17:00:20	6	38.660557	-9.090695	44.5	4.14	"D59932"	"F"	"NA"	TRUE
"6"	"NF55808"	2021-05-15	"06"	2021-05-15 21:00:20	6	38.655941	-9.089213	48.5	4.12	"D59932"	"F"	"NA"	TRUE
"7"	"NF55808"	2021-05-16	"07"	2021-05-16 01:00:20	8	38.656236	-9.089041	53	4.12	"D59932"	"F"	"NA"	TRUE
"8"	"NF55808"	2021-05-16	"08"	2021-05-16 05:00:20	8	38.660468	-9.090566	47	4.12	"D59932"	"F"	"NA"	TRUE
"9"	"NF55808"	2021-05-16	"09"	2021-05-16 09:00:26	5	38.653872	-9.103448	38.75	4.12	"D59932"	"F"	"NA"	TRUE
"10"	"NF55808"	2021-05-16	"10"	2021-05-16 13:00:23	6	38.653634	-9.103424	33.25	4.12	"D59932"	"F"	"NA"	TRUE
"11"	"NF55808"	2021-05-16	"11"	2021-05-16 17:00:21	8	38.660493	-9.090543	55	4.12	"D59932"	"F"	"NA"	TRUE
"12"	"NF55808"	2021-05-16	"12"	2021-05-16 21:00:21	8	38.655686	-9.089199	49	4.12	"D59932"	"F"	"NA"	TRUE
"13"	"NF55808"	2021-05-17	"13"	2021-05-17 01:00:21	6	38.656107	-9.089175	64	4.12	"D59932"	"F"	"NA"	TRUE
"14"	"NF55808"	2021-05-17	"14"	2021-05-17 05:00:21	7	38.660146	-9.090335	27.75	4.1	"D59932"	"F"	"NA"	TRUE
"15"	"NF55808"	2021-05-17	"15"	2021-05-17 09:00:21	6	38.660322	-9.091809	51.5	4.1	"D59932"	"F"	"NA"	TRUE
"16"	"NF55808"	2021-05-17	"16"	2021-05-17 13:00:22	6	38.660451	-9.090649	54.25	4.1	"D59932"	"F"	"NA"	TRUE
"17"	"NF55808"	2021-05-17	"17"	2021-05-17 17:00:24	8	38.660514	-9.090645	42	4.1	"D59932"	"F"	"NA"	TRUE
"18"	"NF55808"	2021-05-17	"18"	2021-05-17 21:00:22	7	38.65592	-9.089834	26.5	4.1	"D59932"	"F"	"NA"	TRUE
"19"	"NF55808"	2021-05-18	"19"	2021-05-18 01:00:22	8	38.655771	-9.089227	21.75	4.1	"D59932"	"F"	"NA"	TRUE
"20"	"NF55808"	2021-05-18	"20"	2021-05-18 05:00:22	8	38.66021	-9.090287	42.25	4.1	"D59932"	"F"	"NA"	TRUE
"21"	"NF55808"	2021-05-18	"21"	2021-05-18 09:00:23	6	38.656395	-9.089357	50.5	4.1	"D59932"	"F"	"NA"	TRUE
"22"	"NF55808"	2021-05-18	"22"	2021-05-18 13:00:23	7	38.6575	-9.08976	45.75	4.1	"D59932"	"F"	"NA"	TRUE
"23"	"NF55808"	2021-05-18	"24"	2021-05-18 21:00:23	7	38.660181	-9.090312	88	4.08	"D59932"	"F"	"NA"	TRUE
"24"	"NF55808"	2021-05-19	"25"	2021-05-19 01:00:23	6	38.660236	-9.090334	40	4.08	"D59932"	"F"	"NA"	TRUE
"25"	"NF55808"	2021-05-19	"26"	2021-05-19 05:00:24	8	38.657143	-9.089544	36.75	4.08	"D59932"	"F"	"NA"	TRUE
"26"	"NF55808"	2021-05-19	"27"	2021-05-19 09:00:24	7	38.656023	-9.09022	57.25	4.08	"D59932"	"F"	"NA"	TRUE
"27"	"NF55808"	2021-05-19	"28"	2021-05-19 13:00:24	7	38.657819	-9.090623	54.5	4.08	"D59932"	"F"	"NA"	TRUE
"28"	"NF55808"	2021-05-19	"29"	2021-05-19 17:00:24	8	38.657442	-9.090379	50	4.08	"D59932"	"F"	"NA"	TRUE
"29"	"NF55808"	2021-05-19	"30"	2021-05-19 21:00:25	6	38.660228	-9.090351	62	4.08	"D59932"	"F"	"NA"	TRUE
"30"	"NF55808"	2021-05-20	"31"	2021-05-20 01:00:25	8	38.660213	-9.090327	33	4.08	"D59932"	"F"	"NA"	TRUE
"31"	"NF55808"	2021-05-20	"32"	2021-05-20 05:00:25	6	38.660258	-9.090294	50.75	4.08	"D59932"	"F"	"NA"	TRUE
"32"	"NF55808"	2021-05-20	"33"	2021-05-20 09:00:25	6	38.657351	-9.089727	65.25	4.08	"D59932"	"F"	"NA"	TRUE
"33"	"NF55808"	2021-05-20	"34"	2021-05-20 13:00:25	6	38.657205	-9.091497	36.5	4.08	"D59932"	"F"	"NA"	TRUE
"34"	"NF55808"	2021-05-20	"35"	2021-05-20 17:00:26	7	38.657597	-9.090245	48.25	4.08	"D59932"	"F"	"NA"	TRUE
"35"	"NF55808"	2021-05-20	"36"	2021-05-20 21:00:26	6	38.660162	-9.09031	41.75	4.08	"D59932"	"F"	"NA"	TRUE
"36"	"NF55808"	2021-05-21	"37"	2021-05-21 01:00:26	6	38.660118	-9.090378	49.75	4.08	"D59932"	"F"	"NA"	TRUE
"37"	"NF55808"	2021-05-21	"38"	2021-05-21 05:00:26	8	38.657432	-9.090403	34.75	4.08	"D59932"	"F"	"NA"	TRUE
"38"	"NF55808"	2021-05-21	"39"	2021-05-21 09:00:30	5	38.656809	-9.09142	61.5	4.08	"D59932"	"F"	"NA"	TRUE
