Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   8/8  22/05/03  07:05:04  22/05/03  07:05:04.466      0.466     54.53925      8.89146        40.26     1.3         1.3             0.0        0.00
    2          Valid   8/8  22/05/07  03:40:11  22/05/07  03:40:05.003     -5.997     54.54298      8.91132        42.35     1.0         0.4             0.0        0.00
    3          Valid   4/4  22/05/07  04:00:08  22/05/07  04:00:07.549     -0.451     54.54300      8.91139        42.35     2.8         0.3             0.0        0.00
    4          Valid   5/6  22/05/07  04:20:05  22/05/07  04:20:04.511     -0.489     54.54298      8.91141        42.71     1.4         0.4             0.0        0.00
    5          Valid   8/9  22/05/07  04:40:04  22/05/07  04:40:03.468     -0.532     54.54296      8.91136        39.76     1.1         0.5             0.0        0.00
    6          Valid   8/9  22/05/07  05:00:04  22/05/07  05:00:03.425     -0.575     54.54296      8.91134        40.96     1.0         0.9             0.0        0.00
    7          Valid   8/8  22/05/07  05:20:04  22/05/07  05:20:03.384     -0.616     54.54298      8.91136        47.34     1.0         1.6             0.0        0.00
    8          Valid   7/8  22/05/07  05:40:04  22/05/07  05:40:03.341     -0.659     54.54297      8.91133        46.88     1.2         0.7             0.0        0.00
    9          Valid   7/8  22/05/07  06:00:04  22/05/07  06:00:03.299     -0.701     54.54299      8.91130        46.67     1.2         0.5             0.0        0.00
   10          Valid   7/7  22/05/07  06:20:04  22/05/07  06:20:03.253     -0.747     54.54298      8.91125        45.63     1.8         0.6             0.0        0.00
   11          Valid   7/7  22/05/07  06:40:04  22/05/07  06:40:03.218     -0.782     54.54296      8.91128        46.03     1.4         0.3             0.0        0.00
   12          Valid   6/6  22/05/07  07:00:05  22/05/07  07:00:04.178     -0.822     54.54296      8.91139        45.18     1.8         0.6             0.0        0.00
   13          Valid   7/7  22/05/07  07:20:04  22/05/07  07:20:03.135     -0.865     54.54297      8.91129        43.44     1.3         1.0             0.0        0.00
   14          Valid   6/7  22/05/07  07:40:05  22/05/07  07:40:04.091     -0.909     54.54296      8.91135        43.70     2.4         0.6             0.0        0.00
   15          Valid   8/8  22/05/07  08:00:05  22/05/07  08:00:04.047     -0.953     54.54296      8.91135        41.95     0.9         1.3             0.0        0.00
   16          Valid   8/9  22/05/07  08:20:04  22/05/07  08:20:03.002     -0.998     54.54295      8.91133        40.41     1.0         0.7             0.0        0.00
   17          Valid   6/7  22/05/07  08:40:04  22/05/07  08:40:02.965     -1.035     54.54295      8.91133        40.71     1.6         0.5             0.0        0.00
   18          Valid   8/9  22/05/07  09:00:04  22/05/07  09:00:02.923     -1.077     54.54296      8.91132        41.40     1.2         1.0             0.0        0.00
   19          Valid   6/7  22/05/07  09:20:04  22/05/07  09:20:02.876     -1.124     54.54296      8.91133        40.94     2.0         1.3             0.0        0.00
   20          Valid   6/7  22/05/07  09:40:04  22/05/07  09:40:02.843     -1.157     54.54295      8.91134        40.07     2.1         0.5             0.0        0.00
   21          Valid   5/6  22/05/07  10:00:04  22/05/07  10:00:02.804     -1.196     54.54295      8.91134        39.98     2.3         0.4             0.0        0.00
   22          Valid   7/8  22/05/07  10:20:04  22/05/07  10:20:02.762     -1.238     54.54295      8.91134        39.17     1.2         0.8             0.0        0.00
   23          Valid   6/6  22/05/07  10:40:04  22/05/07  10:40:02.721     -1.279     54.54296      8.91130        39.23     1.3         0.8             0.0        0.00
   24          Valid   7/7  22/05/07  11:00:06  22/05/07  11:00:04.691     -1.309     54.54293      8.91137        40.28     1.2         0.5             0.0        0.00
   25          Valid   7/7  22/05/07  11:20:04  22/05/07  11:20:02.651     -1.349     54.54306      8.91134        41.13     1.4         0.8             0.0        0.00
   26          Valid   9/9  22/05/07  11:40:07  22/05/07  11:40:05.621     -1.379     54.54290      8.91132        43.45     1.0         3.3             0.0        0.00
   27          Valid   7/7  22/05/07  12:00:04  22/05/07  12:00:02.580     -1.420     54.54298      8.91129        43.67     2.0         1.5             0.0        0.00
   28          Valid   6/6  22/05/07  12:20:06  22/05/07  12:20:04.548     -1.452     54.54292      8.91136        36.60     2.8         0.5             0.0        0.00
   29          Valid   7/7  22/05/07  12:40:09  22/05/07  12:40:07.514     -1.486     54.54293      8.91131        34.82     1.4         1.5             0.0        0.00
   30          Valid   6/6  22/05/07  13:00:11  22/05/07  13:00:09.003     -1.997     54.54293      8.91138        44.56     1.7         1.1             0.0        0.00
   31          Valid   7/7  22/05/07  13:20:04  22/05/07  13:20:02.444     -1.556     54.54291      8.91124        43.91     1.3         0.8             0.0        0.00
   32          Valid   7/7  22/05/07  13:40:04  22/05/07  13:40:02.407     -1.593     54.55390      8.90806        39.31     1.2         1.0             0.0        0.00
   33          Valid   8/8  22/05/07  14:00:05  22/05/07  14:00:03.375     -1.625     54.55474      8.90581        41.29     1.1         0.5             0.0        0.00
   34          Valid   7/7  22/05/07  14:20:05  22/05/07  14:20:03.332     -1.668     54.55415      8.90782        40.50     1.5         1.0             0.0        0.00
   35          Valid   9/9  22/05/07  14:40:05  22/05/07  14:40:03.283     -1.717     54.55377      8.90860        41.54     1.0         1.3             0.0        0.00
   36          Valid   7/7  22/05/07  15:00:05  22/05/07  15:00:03.239     -1.761     54.55384      8.90825        41.33     1.6         0.9             0.0        0.00
   37          Valid   9/9  22/05/07  15:20:09  22/05/07  15:20:07.212     -1.788     54.55415      8.90809        37.79     1.4         2.0             0.0        0.00
   38          Valid   6/6  22/05/07  15:40:05  22/05/07  15:40:03.164     -1.836     54.55441      8.90782        37.38     1.6         0.7             0.0        0.00
   39          Valid   5/5  22/05/07  16:00:08  22/05/07  16:00:06.122     -1.878     54.55635      8.91119        37.48     3.2         0.4             0.0        0.00
   40          Valid   8/8  22/05/07  16:20:05  22/05/07  16:20:03.089     -1.911     54.55609      8.90926        37.44     1.1         0.6             0.0        0.00
   41          Valid   7/8  22/05/07  16:40:04  22/05/07  16:40:02.043     -1.957     54.55441      8.91050        38.13     1.4         0.4             0.0        0.00
   42          Valid   6/7  22/05/07  17:00:05  22/05/07  17:00:03.001     -1.999     54.55477      8.91013        40.62     1.3         1.1             0.0        0.00
