Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   9/9  22/05/03  07:03:08  22/05/03  07:03:07.234     -0.766     54.53931      8.89149        36.55     0.9         2.2             0.0        0.00
    2          Valid   4/6  22/05/07  03:40:10  22/05/07  03:40:03.607     -6.393     54.54159      8.91928        36.81     3.2         0.1             0.0        0.00
    3          Valid   7/8  22/05/07  04:00:04  22/05/07  04:00:04.235      0.235     54.54164      8.91931        36.71     1.8         0.6             0.0        0.00
    4          Valid   6/6  22/05/07  04:20:04  22/05/07  04:20:04.196      0.196     54.54121      8.91897        40.14     2.6         0.8             0.0        0.00
    5          Valid   8/8  22/05/07  04:40:04  22/05/07  04:40:04.203      0.203     54.54101      8.91680        36.69     1.1         3.6             0.0        0.00
    6          Valid   6/6  22/05/07  05:00:05  22/05/07  05:00:05.118      0.118     54.55630      8.90887        41.44     2.0         0.8             0.0        0.00
    7          Valid   7/8  22/05/07  05:20:04  22/05/07  05:20:04.128      0.128     54.55671      8.90865        42.61     1.1         0.5             0.0        0.00
    8          Valid   5/6  22/05/07  05:40:04  22/05/07  05:40:04.088      0.088     54.55591      8.91126        43.16     2.2         0.4             0.0        0.00
    9          Valid   9/9  22/05/07  06:00:04  22/05/07  06:00:04.052      0.052     54.55493      8.91038        42.51     1.0         0.7             0.0        0.00
   10          Valid   8/9  22/05/07  06:20:07  22/05/07  06:20:07.014      0.014     54.55520      8.91084        43.57     1.2         0.8             0.0        0.00
   11          Valid   7/7  22/05/07  06:40:08  22/05/07  06:40:07.978     -0.022     54.55566      8.90729        39.51     1.2         0.5             0.0        0.00
   12          Valid   8/8  22/05/07  07:00:04  22/05/07  07:00:03.938     -0.062     54.54017      8.89924        39.17     1.2         0.8             0.0        0.00
   13          Valid   6/7  22/05/07  07:20:04  22/05/07  07:20:03.902     -0.098     54.54037      8.89873        42.59     1.7         0.6             0.0        0.00
   14          Valid   7/7  22/05/07  07:40:05  22/05/07  07:40:04.866     -0.134     54.53995      8.87567        50.87     1.1         1.5             0.0        0.00
   15          Valid   7/8  22/05/07  08:00:04  22/05/07  08:00:03.819     -0.181     54.54028      8.87539        41.40     1.6         0.5             0.0        0.00
   16          Valid   6/7  22/05/07  08:20:05  22/05/07  08:20:04.782     -0.218     54.53943      8.87151        41.10     1.6         0.3             0.0        0.00
   17          Valid   8/9  22/05/07  08:40:06  22/05/07  08:40:05.739     -0.261     54.53904      8.87147        42.99     1.1         0.6             0.0        0.00
   18          Valid   5/6  22/05/07  09:00:04  22/05/07  09:00:03.700     -0.300     54.53914      8.87150        42.44     2.5         0.4             0.0        0.00
   19          Valid   8/9  22/05/07  09:20:04  22/05/07  09:20:03.614     -0.386     54.53816      8.87107        42.55     1.4         0.3             0.0        0.00
   20          Valid   8/9  22/05/07  09:40:04  22/05/07  09:40:03.577     -0.423     54.53823      8.87105        37.94     1.1         0.3             0.0        0.00
   21          Valid   8/9  22/05/07  10:00:06  22/05/07  10:00:05.538     -0.462     54.53827      8.87104        39.22     0.9         1.0             0.0        0.00
   22          Valid   8/9  22/05/07  10:20:04  22/05/07  10:20:03.498     -0.502     54.53642      8.87087        40.52     1.1         1.1             0.0        0.00
   23          Valid   7/8  22/05/07  10:40:04  22/05/07  10:40:03.463     -0.537     54.53664      8.86993        40.03     1.1         0.5             0.0        0.00
   24          Valid   8/8  22/05/07  11:00:04  22/05/07  11:00:03.468     -0.532     54.53644      8.87043        38.90     1.1         1.0             0.0        0.00
   25          Valid   8/8  22/05/07  11:20:06  22/05/07  11:20:05.400     -0.600     54.53654      8.87093        35.03     1.0         2.0             0.0        0.00
   26          Valid   9/9  22/05/07  11:40:06  22/05/07  11:40:05.365     -0.635     54.53654      8.87100        36.09     0.9         1.3             0.0        0.00
   27          Valid   6/6  22/05/07  12:00:04  22/05/07  12:00:03.361     -0.639     54.53609      8.88478        39.39     2.4         0.5             0.0        0.00
   28          Valid   8/8  22/05/07  12:20:07  22/05/07  12:20:06.323     -0.677     54.54084      8.90429        36.17     1.0         0.4             0.0        0.00
   29          Valid   8/8  22/05/07  12:40:09  22/05/07  12:40:08.303     -0.697     54.54116      8.91994        35.97     1.3         1.4             0.0        0.00
   30          Valid   8/8  22/05/07  13:00:05  22/05/07  13:00:04.200     -0.800     54.54180      8.91930        40.68     1.1         0.8             0.0        0.00
