Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   7/7  21/06/22  03:01:07  21/06/22  03:01:07.510      0.510     54.53504      8.88103        38.53     1.1         1.2             0.0        0.00
    2          Valid   7/7  21/06/26  06:00:10  21/06/26  05:59:58.601    -11.399     54.55884      8.91204        38.78     1.2         0.6             0.0        0.00
    3          Valid   7/7  21/06/26  06:20:06  21/06/26  06:20:06.216      0.216     54.55866      8.91169        38.54     1.1         1.2             0.0        0.00
    4          Valid   7/7  21/06/26  06:40:04  21/06/26  06:40:04.192      0.192     54.55857      8.91163        37.72     1.3         0.2             0.0        0.00
    5          Valid   6/6  21/06/26  07:00:04  21/06/26  07:00:04.151      0.151     54.55845      8.91156        40.58     2.6         0.8             0.0        0.00
    6          Valid   8/8  21/06/26  07:20:08  21/06/26  07:20:08.117      0.117     54.55636      8.90828        40.14     1.2         1.0             0.0        0.00
    7          Valid   7/9  21/06/26  07:40:06  21/06/26  07:40:06.111      0.111     54.54311      8.90783        49.95     1.6         0.9             0.0        0.00
    8          Valid   8/8  21/06/26  08:00:04  21/06/26  08:00:04.045      0.045     54.54284      8.91098        39.51     1.2         0.7             0.0        0.00
    9          Valid   7/7  21/06/26  08:20:06  21/06/26  08:20:06.018      0.018     54.54294      8.91120        40.77     1.1         0.7             0.0        0.00
   10          Valid   6/6  21/06/26  08:40:06  21/06/26  08:40:05.983     -0.017     54.54293      8.91120        41.06     1.6         0.2             0.0        0.00
   11          Valid   6/6  21/06/26  09:00:04  21/06/26  09:00:03.944     -0.056     54.54272      8.91103        40.99     1.3         0.5             0.0        0.00
   12          Valid   9/9  21/06/26  09:20:06  21/06/26  09:20:05.906     -0.094     54.55473      8.91118        44.65     0.9         0.8             0.0        0.00
   13          Valid   6/6  21/06/26  09:40:04  21/06/26  09:40:03.866     -0.134     54.55510      8.91092        41.64     1.1         0.3             0.0        0.00
   14          Valid   8/8  21/06/26  10:00:08  21/06/26  10:00:07.835     -0.165     54.55496      8.91110        40.42     1.0         0.4             0.0        0.00
   15          Valid   6/6  21/06/26  10:20:04  21/06/26  10:20:03.798     -0.202     54.55450      8.91094        42.85     1.4         0.7             0.0        0.00
   16          Valid   8/8  21/06/26  10:40:08  21/06/26  10:40:07.765     -0.235     54.55490      8.91106        44.65     1.2         1.2             0.0        0.00
   17          Valid   9/9  21/06/26  11:00:09  21/06/26  11:00:08.765     -0.235     54.54222      8.90364        49.40     1.0         2.9             0.0        0.00
   18          Valid   7/7  21/06/26  11:20:04  21/06/26  11:20:03.670     -0.330     54.53960      8.89276        42.60     1.2         1.2             0.0        0.00
