Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   7/8  22/05/04  10:01:07  22/05/04  10:01:07.101      0.101     54.54081      8.89500        39.06     1.1         0.8             0.0        0.00
    2          Valid   6/7  22/05/07  03:40:11  22/05/07  03:40:04.399     -6.601     54.54211      8.91628        38.47     2.0         0.5             0.0        0.00
    3          Valid   5/6  22/05/07  04:00:04  22/05/07  04:00:03.886     -0.114     54.54212      8.91629        38.00     2.4         0.3             0.0        0.00
    4          Valid   6/7  22/05/07  04:20:04  22/05/07  04:20:03.840     -0.160     54.54212      8.91631        38.70     1.8         0.7             0.0        0.00
    5          Valid   7/7  22/05/07  04:40:04  22/05/07  04:40:03.802     -0.198     54.54215      8.91632        39.97     1.3         0.6             0.0        0.00
    6          Valid   8/9  22/05/07  05:00:04  22/05/07  05:00:03.762     -0.238     54.54217      8.91634        40.07     1.1         0.3             0.0        0.00
    7          Valid   5/5  22/05/07  05:20:08  22/05/07  05:20:07.721     -0.279     54.54214      8.91625        39.83     2.8         0.3             0.0        0.00
    8          Valid   8/9  22/05/07  05:40:05  22/05/07  05:40:04.744     -0.256     54.54124      8.91691        44.00     1.0         1.2             0.0        0.00
    9          Valid   7/7  22/05/07  06:00:04  22/05/07  06:00:03.703     -0.297     54.54001      8.90331        43.76     1.2         0.4             0.0        0.00
   10          Valid   7/7  22/05/07  06:20:04  22/05/07  06:20:03.658     -0.342     54.53973      8.90194        43.76     1.4         0.4             0.0        0.00
   11          Valid   6/6  22/05/07  06:40:04  22/05/07  06:40:03.570     -0.430     54.53995      8.89832        41.87     1.7         0.6             0.0        0.00
   12          Valid   7/7  22/05/07  07:00:04  22/05/07  07:00:03.529     -0.471     54.54060      8.87659        39.85     1.3         0.8             0.0        0.00
   13          Valid   8/8  22/05/07  07:20:04  22/05/07  07:20:03.543     -0.457     54.54064      8.87611        41.51     1.1         1.8             0.0        0.00
   14          Valid   6/6  22/05/07  07:40:05  22/05/07  07:40:04.451     -0.549     54.54069      8.87572        42.08     2.1         0.2             0.0        0.00
   15          Valid   7/7  22/05/07  08:00:04  22/05/07  08:00:03.456     -0.544     54.54011      8.87586        41.95     1.2         0.3             0.0        0.00
   16          Valid   8/9  22/05/07  08:20:04  22/05/07  08:20:03.366     -0.634     54.53707      8.87081        38.31     1.1         0.8             0.0        0.00
   17          Valid   7/8  22/05/07  08:40:04  22/05/07  08:40:03.328     -0.672     54.53700      8.87075        38.01     1.1         1.3             0.0        0.00
   18          Valid   7/8  22/05/07  09:00:04  22/05/07  09:00:03.288     -0.712     54.53720      8.87089        39.03     1.3         0.6             0.0        0.00
   19          Valid   8/9  22/05/07  09:20:04  22/05/07  09:20:03.292     -0.708     54.53707      8.87089        37.18     1.7         1.5             0.0        0.00
   20          Valid   6/7  22/05/07  09:40:04  22/05/07  09:40:03.249     -0.751     54.53710      8.87060        38.89     2.1         0.5             0.0        0.00
   21          Valid   7/8  22/05/07  10:00:04  22/05/07  10:00:03.205     -0.795     54.53720      8.87070        38.55     1.6         0.4             0.0        0.00
   22          Valid   7/8  22/05/07  10:20:04  22/05/07  10:20:03.157     -0.843     54.53726      8.87068        35.61     1.3         1.2             0.0        0.00
   23          Valid   6/6  22/05/07  10:40:04  22/05/07  10:40:03.088     -0.912     54.53676      8.87158        43.48     1.3         0.7             0.0        0.00
   24          Valid   8/8  22/05/07  11:00:07  22/05/07  11:00:06.089     -0.911     54.53692      8.87112        40.54     1.1         0.8             0.0        0.00
   25          Valid   6/6  22/05/07  11:20:04  22/05/07  11:20:03.058     -0.942     54.53680      8.87155        47.30     1.6         1.2             0.0        0.00
   26          Valid   7/7  22/05/07  11:40:04  22/05/07  11:40:03.027     -0.973     54.53847      8.89107        37.38     1.3         1.1             0.0        0.00
   27          Valid   7/7  22/05/07  12:00:07  22/05/07  12:00:05.981     -1.019     54.53968      8.90122        38.81     1.9         0.6             0.0        0.00
   28          Valid   6/6  22/05/07  12:20:05  22/05/07  12:20:03.893     -1.107     54.54224      8.91619        40.00     2.2         0.5             0.0        0.00
   29          Valid   7/7  22/05/07  12:40:08  22/05/07  12:40:06.857     -1.143     54.54222      8.91623        40.64     1.4         0.3             0.0        0.00
   30          Valid   6/6  22/05/07  13:00:05  22/05/07  13:00:03.856     -1.144     54.54223      8.91623        40.53     1.7         1.1             0.0        0.00
   31          Valid   6/6  22/05/07  13:20:04  22/05/07  13:20:02.817     -1.183     54.54226      8.91625        39.17     1.2         1.0             0.0        0.00
   32          Valid   6/6  22/05/07  13:40:04  22/05/07  13:40:02.770     -1.230     54.54224      8.91630        40.68     1.4         1.0             0.0        0.00
   33          Valid   6/6  22/05/07  14:00:04  22/05/07  14:00:02.707     -1.293     54.54225      8.91627        40.39     1.3         1.0             0.0        0.00
   34          Valid   6/6  22/05/07  14:20:05  22/05/07  14:20:03.664     -1.336     54.54225      8.91631        39.97     2.6         1.0             0.0        0.00
   35          Valid   8/8  22/05/07  14:40:04  22/05/07  14:40:02.625     -1.375     54.54225      8.91628        40.41     1.1         0.9             0.0        0.00
   36          Valid   7/7  22/05/07  15:00:05  22/05/07  15:00:03.589     -1.411     54.54227      8.91631        41.24     2.3         1.9             0.0        0.00
   37          Valid   7/7  22/05/07  15:20:04  22/05/07  15:20:02.599     -1.401     54.54223      8.91631        37.59     2.0         0.7             0.0        0.00
   38          Valid   6/6  22/05/07  15:40:07  22/05/07  15:40:05.560     -1.440     54.54225      8.91632        38.15     5.0         0.4             0.0        0.00
   39          Valid   6/6  22/05/07  16:00:05  22/05/07  16:00:03.520     -1.480     54.54221      8.91629        40.91     4.3         0.7             0.0        0.00
   40          Valid   6/7  22/05/07  16:20:09  22/05/07  16:20:07.471     -1.529     54.54223      8.91620        40.03     3.6         0.7             0.0        0.00
   41          Valid   8/9  22/05/07  16:40:06  22/05/07  16:40:04.451     -1.549     54.54225      8.91630        41.73     1.1         0.5             0.0        0.00
   42          Valid   5/6  22/05/07  17:00:07  22/05/07  17:00:05.407     -1.593     54.54228      8.91630        41.73     4.3         0.2             0.0        0.00
   43          Valid   6/6  22/05/07  17:20:09  22/05/07  17:20:07.363     -1.637     54.54225      8.91626        40.80     2.2         0.5             0.0        0.00
   44          Valid   6/7  22/05/07  17:40:04  22/05/07  17:40:02.328     -1.672     54.54225      8.91625        39.76     1.4         0.8             0.0        0.00
   45          Valid   6/7  22/05/07  18:00:04  22/05/07  18:00:02.292     -1.708     54.54224      8.91630        38.99     2.2         0.7             0.0        0.00
   46          Valid   7/8  22/05/07  18:20:04  22/05/07  18:20:02.252     -1.748     54.54225      8.91630        39.98     1.5         0.7             0.0        0.00
   47          Valid   8/9  22/05/07  18:40:04  22/05/07  18:40:02.210     -1.790     54.54231      8.91616        47.32     1.4         2.4             0.0        0.00
   48          Valid   8/9  22/05/07  19:00:08  22/05/07  19:00:06.147     -1.853     54.54229      8.91638        54.78     1.6         4.9             0.0        0.00
   49          Valid   8/8  22/05/07  19:20:04  22/05/07  19:20:02.085     -1.915     54.54227      8.91615        41.57     1.9         1.1             0.0        0.00
   50          Valid   7/7  22/05/07  19:40:04  22/05/07  19:40:02.057     -1.943     54.54226      8.91625        39.85     1.2         0.9             0.0        0.00
   51          Valid   8/8  22/05/07  20:00:04  22/05/07  20:00:02.020     -1.980     54.54201      8.91612        40.02     1.1         0.6             0.0        0.00
