Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   6/6  21/06/22  03:04:07  21/06/22  03:04:08.607      1.607     54.53502      8.88095        34.97     1.9         0.8             0.0        0.00
    2          Valid   7/7  21/06/26  06:00:11  21/06/26  06:00:02.003     -8.997     54.54318      8.90917        37.37     1.2         0.6             0.0        0.00
    3          Valid   7/7  21/06/26  06:20:08  21/06/26  06:20:07.496     -0.504     54.54317      8.90912        39.23     1.3         1.0             0.0        0.00
    4          Valid   6/6  21/06/26  06:40:04  21/06/26  06:40:03.458     -0.542     54.54316      8.90915        40.63     1.7         0.6             0.0        0.00
    5          Valid   6/6  21/06/26  07:00:10  21/06/26  07:00:09.391     -0.609     54.54316      8.90916        39.57     1.8         0.5             0.0        0.00
    6          Valid   5/6  21/06/26  07:20:11  21/06/26  07:20:09.802     -1.198     54.54319      8.90918        39.68     3.4         0.7             0.0        0.00
    7          Valid   6/6  21/06/26  07:40:04  21/06/26  07:40:03.321     -0.679     54.54317      8.90916        42.17     1.5         0.8             0.0        0.00
    8          Valid   5/5  21/06/26  08:00:11  21/06/26  08:00:09.815     -1.185     54.54323      8.90934        36.52     8.0         0.3             0.0        0.00
    9          Valid   7/7  21/06/26  08:20:07  21/06/26  08:20:06.302     -0.698     54.54316      8.90913        40.48     1.5         0.9             0.0        0.00
   10          Valid   8/8  21/06/26  08:40:06  21/06/26  08:40:05.273     -0.727     54.54318      8.90918        39.25     1.0         1.2             0.0        0.00
   11          Valid   5/5  21/06/26  09:00:11  21/06/26  09:00:10.242     -0.758     54.54315      8.90915        38.73     1.4         0.7             0.0        0.00
   12          Valid   6/7  21/06/26  09:20:08  21/06/26  09:20:07.200     -0.800     54.54314      8.90915        42.77     1.6         0.6             0.0        0.00
   13          Valid   7/7  21/06/26  09:40:04  21/06/26  09:40:03.165     -0.835     54.54316      8.90917        43.42     1.7         0.6             0.0        0.00
   14          Valid   6/6  21/06/26  10:00:08  21/06/26  10:00:07.140     -0.860     54.54318      8.90914        42.36     1.9         0.5             0.0        0.00
   15          Valid   7/7  21/06/26  10:20:04  21/06/26  10:20:03.102     -0.898     54.54308      8.90911        41.10     1.3         0.5             0.0        0.00
   16          Valid   8/8  21/06/26  10:40:06  21/06/26  10:40:05.074     -0.926     54.54291      8.90931        42.79     1.2         1.0             0.0        0.00
   17          Valid   7/7  21/06/26  11:00:04  21/06/26  11:00:03.039     -0.961     54.54316      8.90915        39.64     1.6         0.5             0.0        0.00
   18          Valid   7/7  21/06/26  11:20:08  21/06/26  11:20:07.015     -0.985     54.54314      8.90910        41.01     1.4         0.6             0.0        0.00
   19          Valid   6/6  21/06/26  11:40:08  21/06/26  11:40:06.983     -1.017     54.54317      8.90914        43.97     1.4         0.7             0.0        0.00
   20          Valid   6/6  21/06/26  12:00:05  21/06/26  12:00:03.949     -1.051     54.54316      8.90907        43.34     2.9         0.2             0.0        0.00
   21          Valid   6/6  21/06/26  12:20:09  21/06/26  12:20:07.921     -1.079     54.54319      8.90914        43.35     3.1         0.4             0.0        0.00
   22          Valid   6/6  21/06/26  12:40:04  21/06/26  12:40:02.900     -1.100     54.54317      8.90916        42.00     2.2         0.6             0.0        0.00
   23          Valid   8/8  21/06/26  13:00:08  21/06/26  13:00:06.866     -1.134     54.54321      8.90917        36.28     1.1         1.5             0.0        0.00
   24          Valid   6/6  21/06/26  13:20:04  21/06/26  13:20:02.832     -1.168     54.54316      8.90913        36.88     1.6         0.2             0.0        0.00
   25          Valid   7/7  21/06/26  13:40:05  21/06/26  13:40:03.798     -1.202     54.54316      8.90914        42.24     1.3         1.0             0.0        0.00
   26          Valid   8/8  21/06/26  14:00:08  21/06/26  14:00:06.761     -1.239     54.54318      8.90915        41.57     1.2         1.0             0.0        0.00
   27          Valid   6/7  21/06/26  14:20:04  21/06/26  14:20:02.736     -1.264     54.54313      8.90916        36.53     2.2         1.0             0.0        0.00
   28          Valid   6/6  21/06/26  14:40:04  21/06/26  14:40:02.693     -1.307     54.54316      8.90920        39.02     2.5         0.8             0.0        0.00
   29          Valid   8/8  21/06/26  15:00:05  21/06/26  15:00:03.669     -1.331     54.54319      8.90913        38.04     2.0         1.2             0.0        0.00
   30          Valid   7/8  21/06/26  15:20:06  21/06/26  15:20:04.664     -1.336     54.53982      8.89995        41.73     2.8         0.9             0.0        0.00
   31          Valid   6/6  21/06/26  15:40:04  21/06/26  15:40:02.629     -1.371     54.54017      8.90128        41.51     5.3         0.5             0.0        0.00
   32          Valid   6/7  21/06/26  16:00:04  21/06/26  16:00:02.585     -1.415     54.54292      8.90855        40.52     6.4         1.3             0.0        0.00
   33          Valid   7/8  21/06/26  16:20:04  21/06/26  16:20:02.547     -1.453     54.54271      8.90902        40.91     1.3         0.4             0.0        0.00
   34          Valid   8/8  21/06/26  16:40:09  21/06/26  16:40:07.477     -1.523     54.54290      8.90894        39.18     1.3         1.1             0.0        0.00
   35          Valid   7/7  21/06/26  17:00:05  21/06/26  17:00:03.450     -1.550     54.55434      8.91128        46.81     2.9         0.9             0.0        0.00
   36          Valid   8/8  21/06/26  17:20:05  21/06/26  17:20:03.409     -1.591     54.55613      8.90968        44.76     1.0         1.4             0.0        0.00
   37          Valid   7/7  21/06/26  17:40:04  21/06/26  17:40:02.365     -1.635     54.55585      8.90975        44.30     1.1         0.6             0.0        0.00
   38          Valid   7/7  21/06/26  18:00:04  21/06/26  18:00:02.335     -1.665     54.55531      8.91068        44.96     1.5         0.6             0.0        0.00
   39          Valid   9/9  21/06/26  18:20:08  21/06/26  18:20:06.300     -1.700     54.55505      8.91124        39.90     1.1         1.3             0.0        0.00
   40          Valid   7/7  21/06/26  18:40:05  21/06/26  18:40:03.276     -1.724     54.55500      8.91116        46.01     2.9         0.8             0.0        0.00
   41          Valid   6/6  21/06/26  19:00:05  21/06/26  19:00:03.230     -1.770     54.55495      8.91135        44.98     1.2         0.8             0.0        0.00
   42          Valid   8/8  21/06/26  19:20:07  21/06/26  19:20:05.195     -1.805     54.55506      8.91113        41.83     0.9         1.2             0.0        0.00
   43          Valid   7/7  21/06/26  19:40:07  21/06/26  19:40:05.157     -1.843     54.55493      8.91133        46.99     1.2         0.7             0.0        0.00
   44          Valid   7/7  21/06/26  20:00:05  21/06/26  20:00:03.127     -1.873     54.55493      8.91122        45.74     1.2         0.5             0.0        0.00
   45          Valid   9/9  21/06/26  20:20:08  21/06/26  20:20:06.080     -1.920     54.55508      8.91113        35.24     1.0         1.1             0.0        0.00
   46          Valid   9/9  21/06/26  20:40:06  21/06/26  20:40:04.049     -1.951     54.55426      8.91163        38.84     0.9         0.9             0.0        0.00
   47          Valid   8/8  21/06/26  21:00:04  21/06/26  21:00:02.013     -1.987     54.55423      8.91151        39.86     1.0         0.7             0.0        0.00
   48          Valid   7/7  21/06/26  21:20:05  21/06/26  21:20:02.979     -2.021     54.55442      8.91171        41.77     1.2         0.9             0.0        0.00
   49          Valid   7/7  21/06/26  21:40:11  21/06/26  21:40:08.398     -2.602     54.55422      8.91146        37.48     2.1         1.0             0.0        0.00
   50          Valid   6/6  21/06/26  22:00:06  21/06/26  22:00:03.960     -2.040     54.55373      8.91187       174.98     3.0        10.8             0.0        0.00
   51          Valid   6/6  21/06/26  22:20:05  21/06/26  22:20:02.989     -2.011     54.55547      8.91334        97.63     3.8        18.5             0.0        0.00
   52          Valid   8/9  21/06/26  22:40:06  21/06/26  22:40:03.834     -2.166     54.55445      8.91172        43.06     1.1         0.7             0.0        0.00
   53          Valid   6/7  21/06/26  23:00:04  21/06/26  23:00:01.799     -2.201     54.55443      8.91161        44.48     1.6         0.8             0.0        0.00
   54          Valid   7/8  21/06/26  23:20:05  21/06/26  23:20:02.766     -2.234     54.55444      8.91172        44.51     1.3         0.6             0.0        0.00
   55          Valid   6/7  21/06/26  23:40:04  21/06/26  23:40:01.725     -2.275     54.55434      8.91175        43.91     1.2         0.5             0.0        0.00
   56          Valid   7/8  21/06/27  00:00:04  21/06/27  00:00:01.690     -2.310     54.55444      8.91186        42.30     1.3         0.7             0.0        0.00
   57          Valid   6/7  21/06/27  00:20:05  21/06/27  00:20:02.656     -2.344     54.55431      8.91188        41.63     1.9         0.7             0.0        0.00
   58          Valid   8/9  21/06/27  00:40:09  21/06/27  00:40:06.617     -2.383     54.55434      8.91142        47.10     1.4         1.9             0.0        0.00
   59          Valid   6/6  21/06/27  01:00:05  21/06/27  01:00:02.583     -2.417     54.55425      8.91220        42.90     2.1         2.0             0.0        0.00
   60          Valid   8/9  21/06/27  01:20:05  21/06/27  01:20:02.544     -2.456     54.55426      8.91185        38.84     1.1         1.2             0.0        0.00
   61          Valid   8/9  21/06/27  01:40:10  21/06/27  01:40:07.504     -2.496     54.55382      8.91361        41.62     1.2         1.2             0.0        0.00
   62          Valid   5/6  21/06/27  02:00:05  21/06/27  02:00:02.466     -2.534     54.55614      8.90979        42.46     1.5         0.8             0.0        0.00
   63          Valid   7/8  21/06/27  02:20:11  21/06/27  02:20:08.487     -2.513     54.55091      8.90677        40.60     1.1         1.5             0.0        0.00
   64          Valid   7/7  21/06/27  02:40:07  21/06/27  02:40:04.401     -2.599     54.54317      8.90912        40.92     1.1         1.7             0.0        0.00
