Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   7/7  21/06/22  03:03:10  21/06/22  03:03:10.835      0.835     54.53501      8.88098        46.09     1.1         0.8             0.0        0.00
    2          Valid   8/8  21/06/26  06:00:11  21/06/26  05:59:58.596    -12.404     54.53820      8.88817        40.25     1.0         0.8             0.0        0.00
    3          Valid   8/8  21/06/26  06:20:09  21/06/26  06:20:09.202      0.202     54.53817      8.88823        38.31     1.1         1.4             0.0        0.00
    4          Valid   8/8  21/06/26  06:40:09  21/06/26  06:40:09.159      0.159     54.53816      8.88818        38.06     1.3         2.8             0.0        0.00
    5          Valid   6/6  21/06/26  07:00:09  21/06/26  07:00:09.107      0.107     54.53820      8.88821        38.15     2.8         0.3             0.0        0.00
    6          Valid   6/6  21/06/26  07:20:04  21/06/26  07:20:04.073      0.073     54.53817      8.88824        39.00     2.8         0.3             0.0        0.00
    7          Valid   8/8  21/06/26  07:40:08  21/06/26  07:40:08.028      0.028     54.53816      8.88817        38.53     1.1         0.8             0.0        0.00
    8          Valid   9/9  21/06/26  08:00:06  21/06/26  08:00:05.984     -0.016     54.53818      8.88819        44.10     1.0         1.7             0.0        0.00
    9          Valid   6/6  21/06/26  08:20:06  21/06/26  08:20:05.938     -0.062     54.53816      8.88816        37.76     1.1         1.5             0.0        0.00
   10          Valid   9/9  21/06/26  08:40:06  21/06/26  08:40:05.908     -0.092     54.53816      8.88819        39.47     0.9         2.0             0.0        0.00
   11          Valid   6/6  21/06/26  09:00:04  21/06/26  09:00:03.860     -0.140     54.53815      8.88818        38.14     1.7         0.8             0.0        0.00
   12          Valid   6/6  21/06/26  09:20:04  21/06/26  09:20:03.812     -0.188     54.53815      8.88822        38.08     1.9         0.3             0.0        0.00
   13          Valid   8/8  21/06/26  09:40:06  21/06/26  09:40:05.770     -0.230     54.53729      8.88730        40.41     1.0         0.9             0.0        0.00
   14          Valid   5/6  21/06/26  10:00:09  21/06/26  10:00:08.705     -0.295     54.53815      8.88829        46.24     3.7         0.4             0.0        0.00
   15          Valid   8/8  21/06/26  10:20:06  21/06/26  10:20:05.665     -0.335     54.53818      8.88817        40.84     1.2         0.8             0.0        0.00
   16          Valid   9/9  21/06/26  10:40:09  21/06/26  10:40:08.632     -0.368     54.53818      8.88822        38.78     1.1         1.5             0.0        0.00
   17          Valid   6/6  21/06/26  11:00:08  21/06/26  11:00:07.590     -0.410     54.53818      8.88818        38.35     1.4         0.4             0.0        0.00
   18          Valid   7/7  21/06/26  11:20:04  21/06/26  11:20:03.557     -0.443     54.53818      8.88816        38.10     1.1         0.6             0.0        0.00
   19          Valid   8/8  21/06/26  11:40:07  21/06/26  11:40:06.516     -0.484     54.53820      8.88823        43.96     1.1         0.9             0.0        0.00
   20          Valid   5/5  21/06/26  12:00:07  21/06/26  12:00:06.476     -0.524     54.53816      8.88827        45.19     1.5         0.8             0.0        0.00
   21          Valid   8/8  21/06/26  12:20:04  21/06/26  12:20:03.446     -0.554     54.53816      8.88819        41.31     1.4         1.1             0.0        0.00
   22          Valid   6/6  21/06/26  12:40:05  21/06/26  12:40:04.417     -0.583     54.53816      8.88820        42.53     1.5         0.5             0.0        0.00
   23          Valid   8/8  21/06/26  13:00:07  21/06/26  13:00:06.351     -0.649     54.53819      8.88817        42.98     1.4         1.7             0.0        0.00
   24          Valid   8/8  21/06/26  13:20:09  21/06/26  13:20:08.333     -0.667     54.53817      8.88825        41.70     1.1         0.9             0.0        0.00
   25          Valid   7/7  21/06/26  13:40:09  21/06/26  13:40:08.255     -0.745     54.53818      8.88825        38.95     1.1         0.7             0.0        0.00
   26  NotEnoughSats   0/0  21/06/26  14:00:04                             -0.940                                                                        0.0        0.00
