Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   6/6  22/07/04  18:15:09  22/07/04  18:15:10.249      1.249     54.54108      8.92245        36.94     3.0         1.0             0.0        0.00
    2          Valid   5/5  22/07/07  03:00:11  22/07/07  03:00:05.407     -5.593     54.54035      8.89599        35.78     2.8         0.9             0.0        0.00
    3          Valid   9/9  22/07/07  03:20:04  22/07/07  03:20:04.006      0.006     54.54021      8.89810        30.80     1.1         3.6             0.0        0.00
    4          Valid   8/8  22/07/07  03:40:04  22/07/07  03:40:04.002      0.002     54.54018      8.89762        39.21     1.0         0.5             0.0        0.00
    5          Valid   6/6  22/07/07  04:00:05  22/07/07  04:00:04.922     -0.078     54.54015      8.89766        39.24     2.9         0.1             0.0        0.00
    6          Valid   8/8  22/07/07  04:20:04  22/07/07  04:20:03.920     -0.080     54.54018      8.89742        40.33     1.1         1.0             0.0        0.00
    7          Valid   9/9  22/07/07  04:40:05  22/07/07  04:40:04.883     -0.117     54.54017      8.89745        36.00     1.1         0.9             0.0        0.00
    8          Valid   8/8  22/07/07  05:00:04  22/07/07  05:00:03.846     -0.154     54.54029      8.89745        36.04     1.4         0.6             0.0        0.00
    9          Valid   7/7  22/07/07  05:20:04  22/07/07  05:20:03.808     -0.192     54.54029      8.89747        35.97     1.8         0.6             0.0        0.00
   10          Valid   9/9  22/07/07  05:40:06  22/07/07  05:40:05.767     -0.233     54.54025      8.89605        41.86     1.1         0.5             0.0        0.00
   11          Valid   9/9  22/07/07  06:00:06  22/07/07  06:00:05.729     -0.271     54.54047      8.89582        41.81     0.9         0.9             0.0        0.00
   12          Valid   8/8  22/07/07  06:20:06  22/07/07  06:20:05.650     -0.350     54.54012      8.89654        38.42     1.0         1.4             0.0        0.00
   13          Valid   9/9  22/07/07  06:40:06  22/07/07  06:40:05.654     -0.346     54.54018      8.89763        41.20     1.0         1.2             0.0        0.00
   14          Valid   7/7  22/07/07  07:00:07  22/07/07  07:00:06.566     -0.434     54.54021      8.89611        41.23     1.1         0.4             0.0        0.00
   15          Valid   3/3  22/07/07  07:20:11  22/07/07  07:20:10.530     -0.470     54.54039      8.90662        41.26     3.2         0.2             0.0        0.00
   16          Valid   6/6  22/07/07  07:40:05  22/07/07  07:40:04.490     -0.510     54.54137      8.91976        40.03     4.3         0.5             0.0        0.00
   17          Valid   7/7  22/07/07  08:00:06  22/07/07  08:00:05.462     -0.538     54.54123      8.92000        39.98     2.2         0.8             0.0        0.00
   18          Valid   6/6  22/07/07  08:20:04  22/07/07  08:20:03.473     -0.527     54.54133      8.91988        40.16     1.5         0.5             0.0        0.00
   19          Valid   6/6  22/07/07  08:40:09  22/07/07  08:40:08.421     -0.579     54.54130      8.91983        41.13     1.4         0.5             0.0        0.00
   20          Valid   5/5  22/07/07  09:00:08  22/07/07  09:00:07.354     -0.646     54.54131      8.91982        41.04     1.6         0.1             0.0        0.00
   21          Valid   7/7  22/07/07  09:20:09  22/07/07  09:20:08.364     -0.636     54.54129      8.91990        41.21     1.1         1.2             0.0        0.00
   22          Valid   5/5  22/07/07  09:40:07  22/07/07  09:40:06.333     -0.667     54.54134      8.91990        38.80     5.0         0.8             0.0        0.00
   23          Valid   6/6  22/07/07  10:00:04  22/07/07  10:00:03.294     -0.706     54.54130      8.91986        41.00     1.3         0.7             0.0        0.00
   24          Valid   6/6  22/07/07  10:20:05  22/07/07  10:20:04.267     -0.733     54.54133      8.91987        40.58     2.5         0.5             0.0        0.00
   25          Valid   6/6  22/07/07  10:40:06  22/07/07  10:40:05.171     -0.829     54.54132      8.91985        38.54     1.9         0.7             0.0        0.00
   26          Valid   8/8  22/07/07  11:00:06  22/07/07  11:00:05.140     -0.860     54.54129      8.91988        44.38     1.1         1.4             0.0        0.00
   27          Valid   7/7  22/07/07  11:20:07  22/07/07  11:20:06.154     -0.846     54.54132      8.91994        37.47     2.5         0.7             0.0        0.00
   28          Valid   6/6  22/07/07  11:40:04  22/07/07  11:40:03.071     -0.929     54.54130      8.91991        37.04     3.4         0.5             0.0        0.00
   29          Valid   7/7  22/07/07  12:00:04  22/07/07  12:00:03.038     -0.962     54.54129      8.91989        36.30     3.7         0.6             0.0        0.00
   30          Valid   6/6  22/07/07  12:20:05  22/07/07  12:20:04.059     -0.941     54.54127      8.91999        37.28     3.0         0.7             0.0        0.00
   31          Valid   7/7  22/07/07  12:40:04  22/07/07  12:40:03.009     -0.991     54.54131      8.91989        38.03     1.2         1.0             0.0        0.00
   32          Valid   7/7  22/07/07  13:00:04  22/07/07  13:00:02.979     -1.021     54.54131      8.91985        37.77     1.2         0.5             0.0        0.00
   33          Valid   6/7  22/07/07  13:20:07  22/07/07  13:20:05.946     -1.054     54.54133      8.91985        39.44     2.8         0.4             0.0        0.00
   34          Valid   8/9  22/07/07  13:40:06  22/07/07  13:40:04.865     -1.135     54.54128      8.91987        42.96     1.1         1.3             0.0        0.00
   35          Valid   5/6  22/07/07  14:00:04  22/07/07  14:00:02.827     -1.173     54.54130      8.91989        43.26     1.9         0.3             0.0        0.00
   36          Valid   5/6  22/07/07  14:20:05  22/07/07  14:20:03.784     -1.216     54.54129      8.91985        42.67     3.0         0.6             0.0        0.00
   37          Valid   7/8  22/07/07  14:40:11  22/07/07  14:40:09.762     -1.238     54.54589      8.91879        47.12     1.7         1.3             0.0        0.00
   38          Valid   8/9  22/07/07  15:00:08  22/07/07  15:00:06.720     -1.280     54.55102      8.91865        47.58     1.4         1.0             0.0        0.00
   39          Valid   7/7  22/07/07  15:20:04  22/07/07  15:20:02.674     -1.326     54.55120      8.91831        46.86     1.5         0.3             0.0        0.00
   40          Valid   7/7  22/07/07  15:40:04  22/07/07  15:40:02.642     -1.358     54.55084      8.91863        46.69     1.2         0.8             0.0        0.00
   41          Valid   6/6  22/07/07  16:00:04  22/07/07  16:00:02.607     -1.393     54.55136      8.91844        47.68     1.2         0.7             0.0        0.00
   42          Valid   6/6  22/07/07  16:20:04  22/07/07  16:20:02.567     -1.433     54.55133      8.91870        48.21     1.3         0.9             0.0        0.00
   43          Valid   9/9  22/07/07  16:40:06  22/07/07  16:40:04.531     -1.469     54.54941      8.91716        40.14     1.2         0.8             0.0        0.00
   44          Valid   6/6  22/07/07  17:00:05  22/07/07  17:00:03.496     -1.504     54.55097      8.91850        40.91     4.2         0.5             0.0        0.00
   45          Valid   7/7  22/07/07  17:20:04  22/07/07  17:20:02.455     -1.545     54.55172      8.91793        42.64     1.8         0.9             0.0        0.00
   46          Valid   8/8  22/07/07  17:40:06  22/07/07  17:40:04.418     -1.582     54.55169      8.91809        43.15     1.1         1.3             0.0        0.00
   47          Valid   6/6  22/07/07  18:00:04  22/07/07  18:00:02.378     -1.622     54.55141      8.91827        42.41     2.9         0.8             0.0        0.00
   48          Valid   5/5  22/07/07  18:20:08  22/07/07  18:20:06.342     -1.658     54.55155      8.91826        42.40     4.9         0.2             0.0        0.00
   49          Valid   6/6  22/07/07  18:40:04  22/07/07  18:40:02.302     -1.698     54.55013      8.91801        42.95     3.6         1.0             0.0        0.00
   50          Valid   6/6  22/07/07  19:00:04  22/07/07  19:00:02.274     -1.726     54.53888      8.91176        41.49     1.7         0.8             0.0        0.00
   51          Valid   9/9  22/07/07  19:20:04  22/07/07  19:20:02.232     -1.768     54.54018      8.89617        40.87     1.4         1.0             0.0        0.00
   52          Valid   9/9  22/07/07  19:40:07  22/07/07  19:40:05.204     -1.796     54.53940      8.89246        39.37     1.0         1.2             0.0        0.00
   53          Valid   6/6  22/07/07  20:00:05  22/07/07  20:00:03.158     -1.842     54.54064      8.89682        37.64     2.7         0.7             0.0        0.00
   54          Valid   7/7  22/07/07  20:20:04  22/07/07  20:20:02.123     -1.877     54.54012      8.89695        37.74     1.9         1.1             0.0        0.00
   55          Valid   8/8  22/07/07  20:40:04  22/07/07  20:40:02.089     -1.911     54.54067      8.89542        36.77     2.1         1.1             0.0        0.00
   56          Valid   8/9  22/07/07  21:00:11  22/07/07  21:00:08.412     -2.588     54.53704      8.91627        38.87     1.5         0.6             0.0        0.00
   57          Valid   6/6  22/07/07  21:20:04  22/07/07  21:20:02.015     -1.985     54.54045      8.89315        38.42     1.9         0.3             0.0        0.00
   58          Valid   6/6  22/07/07  21:40:04  22/07/07  21:40:01.974     -2.026     54.54042      8.89306        38.29     4.4         0.5             0.0        0.00
   59          Valid   8/9  22/07/07  22:00:06  22/07/07  22:00:03.943     -2.057     54.53970      8.89292        37.01     1.4         1.0             0.0        0.00
   60          Valid   7/7  22/07/07  22:20:04  22/07/07  22:20:01.900     -2.100     54.53724      8.87570        37.83     1.3         1.1             0.0        0.00
   61          Valid   8/8  22/07/07  22:40:04  22/07/07  22:40:01.856     -2.144     54.53829      8.87599        39.55     1.2         0.7             0.0        0.00
   62          Valid   6/6  22/07/07  23:00:05  22/07/07  23:00:02.820     -2.180     54.53402      8.87275        38.10     1.3         0.8             0.0        0.00
   63          Valid   6/7  22/07/07  23:20:04  22/07/07  23:20:01.787     -2.213     54.53396      8.87254        38.67     1.9         0.9             0.0        0.00
   64          Valid   6/6  22/07/07  23:40:05  22/07/07  23:40:02.741     -2.259     54.53275      8.87061        35.56     1.6         0.9             0.0        0.00
   65          Valid   6/6  22/07/08  00:00:05  22/07/08  00:00:02.728     -2.272     54.53153      8.86899        37.93     2.0         1.7             0.0        0.00
   66          Valid   8/9  22/07/08  00:20:10  22/07/08  00:20:07.001     -2.999     54.53150      8.86859        45.02     1.1         0.6             0.0        0.00
   67          Valid   6/7  22/07/08  00:40:04  22/07/08  00:40:01.630     -2.370     54.53148      8.86804        44.27     1.5         1.0             0.0        0.00
   68          Valid   7/8  22/07/08  01:00:06  22/07/08  01:00:03.592     -2.408     54.53197      8.86588        42.35     1.3         0.6             0.0        0.00
   69          Valid   6/7  22/07/08  01:20:05  22/07/08  01:20:02.554     -2.446     54.53273      8.86571        45.06     1.2         0.8             0.0        0.00
   70          Valid   8/9  22/07/08  01:40:06  22/07/08  01:40:03.517     -2.483     54.53288      8.86480        39.42     1.1         1.1             0.0        0.00
   71          Valid   6/7  22/07/08  02:00:04  22/07/08  02:00:01.484     -2.516     54.53298      8.86454        48.43     1.9         1.3             0.0        0.00
   72          Valid   8/8  22/07/08  02:20:08  22/07/08  02:20:05.443     -2.557     54.53405      8.87313        42.90     0.9         0.8             0.0        0.00
   73          Valid   5/5  22/07/08  02:40:09  22/07/08  02:40:06.410     -2.590     54.53450      8.87343        42.06     3.2         0.5             0.0        0.00
   74          Valid   6/7  22/07/08  03:00:10  22/07/08  03:00:07.375     -2.625     54.53934      8.87373        42.11     1.3         0.8             0.0        0.00
