Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   7/8  22/05/29  04:02:08  22/05/29  04:02:06.951     -1.049     54.54053      8.92967        34.12     1.3         0.9             0.0        0.00
    2          Valid   8/9  22/05/30  03:00:10  22/05/30  03:00:06.002     -3.998     54.54116      8.91809        36.96     1.1         1.7             0.0        0.00
    3          Valid   6/7  22/05/30  03:20:05  22/05/30  03:20:01.495     -3.505     54.54130      8.90881        36.95     1.1         1.0             0.0        0.00
    4          Valid   5/6  22/05/30  03:40:05  22/05/30  03:40:01.445     -3.555     54.54132      8.90915        37.40     1.9         0.6             0.0        0.00
    5          Valid   6/7  22/05/30  04:00:05  22/05/30  04:00:01.453     -3.547     54.53958      8.93394        40.68     1.1         1.2             0.0        0.00
    6          Valid   7/8  22/05/30  04:20:04  22/05/30  04:20:00.409     -3.591     54.54010      8.93256        41.39     1.5         0.6             0.0        0.00
    7          Valid   7/8  22/05/30  04:40:04  22/05/30  04:40:00.378     -3.622     54.54636      8.93343        45.87     1.3         0.9             0.0        0.00
    8          Valid   6/7  22/05/30  05:00:05  22/05/30  05:00:01.336     -3.664     54.54627      8.93268        44.94     2.7         0.6             0.0        0.00
    9          Valid   6/6  22/05/30  05:20:05  22/05/30  05:20:01.264     -3.736     54.54979      8.92821        40.19     3.0         0.8             0.0        0.00
   10          Valid   3/3  22/05/30  05:40:11  22/05/30  05:40:06.728     -4.272     54.53978      8.92237        40.30     3.9         0.0             0.0        0.00
   11          Valid   9/9  22/05/30  06:00:04  22/05/30  06:00:00.233     -3.767     54.55088      8.92783        40.80     1.0         1.0             0.0        0.00
   12          Valid   8/8  22/05/30  06:20:04  22/05/30  06:20:00.146     -3.854     54.55074      8.92767        40.06     1.0         0.3             0.0        0.00
   13          Valid   9/9  22/05/30  06:40:04  22/05/30  06:40:00.112     -3.888     54.54871      8.92737        39.25     1.0         0.7             0.0        0.00
   14          Valid   6/6  22/05/30  07:00:06  22/05/30  07:00:02.076     -3.924     54.54129      8.91687        37.84     1.3         0.8             0.0        0.00
   15          Valid   7/7  22/05/30  07:20:04  22/05/30  07:20:00.028     -3.972     54.53981      8.89743        36.61     1.4         2.2             0.0        0.00
   16          Valid   8/8  22/05/30  07:40:04  22/05/30  07:39:59.995     -4.005     54.54124      8.91978        36.87     1.3         0.5             0.0        0.00
   17          Valid   6/6  22/05/30  08:00:04  22/05/30  07:59:59.961     -4.039     54.54171      8.91988        38.13     3.6         0.8             0.0        0.00
   18          Valid   7/7  22/05/30  08:20:07  22/05/30  08:20:02.916     -4.084     54.54052      8.91905        39.68     1.3         0.8             0.0        0.00
   19          Valid   7/7  22/05/30  08:40:06  22/05/30  08:40:01.902     -4.098     54.53989      8.92995        39.06     1.8         1.5             0.0        0.00
