Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   6/6  22/06/06  09:45:10  22/06/06  09:45:08.751     -1.249     54.54303      8.90064        25.75     1.7         0.8             0.0        0.00
    2          Valid   8/8  22/06/07  03:00:11  22/06/07  03:00:07.200     -3.800     54.54246      8.91442        36.27     1.0         0.6             0.0        0.00
    3          Valid   7/8  22/06/07  03:20:04  22/06/07  03:20:00.780     -3.220     54.54130      8.91536        37.50     1.2         0.5             0.0        0.00
    4          Valid   8/9  22/06/07  03:40:04  22/06/07  03:40:00.785     -3.215     54.54246      8.91437        39.90     1.1         0.9             0.0        0.00
    5          Valid   6/7  22/06/07  04:00:04  22/06/07  04:00:00.748     -3.252     54.54172      8.91429        39.19     1.3         0.7             0.0        0.00
    6          Valid   8/9  22/06/07  04:20:09  22/06/07  04:20:05.717     -3.283     54.54163      8.91440        39.92     1.0         0.8             0.0        0.00
    7          Valid   8/8  22/06/07  04:40:09  22/06/07  04:40:05.678     -3.322     54.53971      8.91110        40.73     1.2         1.3             0.0        0.00
    8          Valid   8/8  22/06/07  05:00:06  22/06/07  05:00:02.649     -3.351     54.53979      8.91123        41.48     1.1         1.2             0.0        0.00
    9          Valid   7/7  22/06/07  05:20:05  22/06/07  05:20:01.601     -3.399     54.53978      8.91107        39.79     1.5         0.6             0.0        0.00
   10          Valid   7/7  22/06/07  05:40:04  22/06/07  05:40:00.573     -3.427     54.53978      8.91107        42.43     1.0         0.9             0.0        0.00
   11          Valid   7/7  22/06/07  06:00:04  22/06/07  06:00:00.543     -3.457     54.53985      8.91123        43.62     1.3         0.8             0.0        0.00
   12          Valid   8/8  22/06/07  06:20:04  22/06/07  06:20:00.498     -3.502     54.53974      8.91107        38.81     1.2         0.7             0.0        0.00
   13          Valid   9/9  22/06/07  06:40:07  22/06/07  06:40:03.460     -3.540     54.53983      8.91127        37.58     1.1         0.8             0.0        0.00
   14          Valid   6/6  22/06/07  07:00:06  22/06/07  07:00:02.426     -3.574     54.53963      8.91074        39.48     2.0         0.9             0.0        0.00
   15          Valid   7/7  22/06/07  07:20:04  22/06/07  07:20:00.397     -3.603     54.53970      8.91110        40.62     1.7         0.9             0.0        0.00
   16          Valid   9/9  22/06/07  07:40:07  22/06/07  07:40:03.363     -3.637     54.53987      8.91118        39.35     1.1         0.6             0.0        0.00
   17          Valid   6/7  22/06/07  08:00:07  22/06/07  08:00:03.316     -3.684     54.54208      8.91173        38.89     1.9         0.3             0.0        0.00
   18          Valid   9/9  22/06/07  08:20:06  22/06/07  08:20:02.267     -3.733     54.53981      8.91115        38.22     1.0         1.1             0.0        0.00
   19          Valid   8/8  22/06/07  08:40:07  22/06/07  08:40:03.234     -3.766     54.54247      8.91436        40.04     1.1         0.6             0.0        0.00
   20          Valid   9/9  22/06/07  09:00:06  22/06/07  09:00:02.199     -3.801     54.54174      8.91430        38.70     0.9         0.6             0.0        0.00
   21          Valid   8/8  22/06/07  09:20:06  22/06/07  09:20:02.169     -3.831     54.53978      8.91113        43.97     1.1         1.2             0.0        0.00
   22          Valid   7/7  22/06/07  09:40:09  22/06/07  09:40:05.128     -3.872     54.53972      8.91108        42.87     1.5         0.6             0.0        0.00
   23          Valid   6/6  22/06/07  10:00:05  22/06/07  10:00:01.088     -3.912     54.54173      8.91439        40.51     1.7         0.8             0.0        0.00
