Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   6/6  22/05/03  07:02:08  22/05/03  07:02:06.236     -1.764     54.53927      8.89151        35.26     1.2         0.7             0.0        0.00
    2          Valid   8/9  22/05/19  03:20:11  22/05/19  03:20:03.809     -7.191     54.54053      8.89751        32.25     1.2         0.9             0.0        0.00
    3          Valid   6/7  22/05/19  03:40:04  22/05/19  03:40:04.396      0.396     54.53999      8.89783        50.35     1.3         1.0             0.0        0.00
    4          Valid   6/7  22/05/19  04:00:04  22/05/19  04:00:04.329      0.329     54.54052      8.89783        48.30     1.7         0.8             0.0        0.00
    5          Valid   6/7  22/05/19  04:20:04  22/05/19  04:20:04.259      0.259     54.53992      8.90113        46.42     1.7         0.7             0.0        0.00
    6          Valid   5/6  22/05/19  04:40:04  22/05/19  04:40:04.197      0.197     54.53969      8.89935        46.22     2.7         0.1             0.0        0.00
    7          Valid   7/7  22/05/19  05:00:04  22/05/19  05:00:04.135      0.135     54.53998      8.89905        43.91     1.2         1.1             0.0        0.00
    8          Valid   8/9  22/05/19  05:20:08  22/05/19  05:20:08.067      0.067     54.53983      8.89856        39.58     1.0         0.6             0.0        0.00
    9          Valid   6/7  22/05/19  05:40:04  22/05/19  05:40:04.001      0.001     54.54040      8.87572        39.29     1.7         0.3             0.0        0.00
   10          Valid   8/9  22/05/19  06:00:08  22/05/19  06:00:07.929     -0.071     54.54030      8.87544        41.05     1.2         0.8             0.0        0.00
   11          Valid   6/6  22/05/19  06:20:04  22/05/19  06:20:03.865     -0.135     54.54042      8.87418        41.10     2.1         0.9             0.0        0.00
   12          Valid   6/7  22/05/19  06:40:04  22/05/19  06:40:03.798     -0.202     54.54043      8.87409        41.10     1.4         0.1             0.0        0.00
   13          Valid   7/7  22/05/19  07:00:05  22/05/19  07:00:04.703     -0.297     54.53998      8.87172        40.27     1.7         0.8             0.0        0.00
   14          Valid   8/9  22/05/19  07:20:05  22/05/19  07:20:04.622     -0.378     54.53974      8.87100        41.88     0.9         1.3             0.0        0.00
   15          Valid   5/6  22/05/19  07:40:04  22/05/19  07:40:03.611     -0.389     54.53949      8.87073        41.63     2.3         0.3             0.0        0.00
   16          Valid   8/9  22/05/19  08:00:06  22/05/19  08:00:05.548     -0.452     54.53901      8.87039        41.75     0.9         0.7             0.0        0.00
   17          Valid   6/7  22/05/19  08:20:04  22/05/19  08:20:03.437     -0.563     54.53909      8.87028        41.78     1.3         1.1             0.0        0.00
   18          Valid   7/8  22/05/19  08:40:04  22/05/19  08:40:03.417     -0.583     54.53884      8.89060        43.53     1.8         1.2             0.0        0.00
   19          Valid   6/7  22/05/19  09:00:04  22/05/19  09:00:03.329     -0.671     54.54043      8.89806        42.92     2.0         0.4             0.0        0.00
   20          Valid   6/7  22/05/19  09:20:04  22/05/19  09:20:03.248     -0.752     54.54338      8.90410        38.66     1.7         0.4             0.0        0.00
   21          Valid   6/7  22/05/19  09:40:08  22/05/19  09:40:07.187     -0.813     54.54341      8.90414        39.00     1.7         0.5             0.0        0.00
   22          Valid   8/9  22/05/19  10:00:06  22/05/19  10:00:05.170     -0.830     54.53964      8.89745        44.23     1.1         2.9             0.0        0.00
   23          Valid   7/7  22/05/19  10:20:04  22/05/19  10:20:03.100     -0.900     54.54001      8.89294        36.94     1.4         0.7             0.0        0.00
   24          Valid   9/9  22/05/19  10:40:05  22/05/19  10:40:04.038     -0.962     54.54013      8.89866        38.79     1.0         0.8             0.0        0.00
   25          Valid   6/6  22/05/19  11:00:10  22/05/19  11:00:08.951     -1.049     54.53940      8.89799        42.49     2.0         0.9             0.0        0.00
   26          Valid   8/8  22/05/19  11:20:07  22/05/19  11:20:05.911     -1.089     54.54015      8.89829        40.11     1.5         1.5             0.0        0.00
   27          Valid   6/6  22/05/19  11:40:10  22/05/19  11:40:08.840     -1.160     54.53977      8.89897        38.27     2.7         0.7             0.0        0.00
   28          Valid   8/8  22/05/19  12:00:10  22/05/19  12:00:08.779     -1.221     54.54003      8.89875        37.10     1.1         0.9             0.0        0.00
   29          Valid   7/7  22/05/19  12:20:05  22/05/19  12:20:03.716     -1.284     54.54024      8.89910        34.52     1.3         0.7             0.0        0.00
   30          Valid   6/6  22/05/19  12:40:04  22/05/19  12:40:02.600     -1.400     54.54060      8.89995        33.80     1.5         0.6             0.0        0.00
   31          Valid   5/5  22/05/19  13:00:07  22/05/19  13:00:05.579     -1.421     54.54339      8.90406        34.76     2.2         0.6             0.0        0.00
   32          Valid   6/6  22/05/19  13:20:06  22/05/19  13:20:04.538     -1.462     54.54341      8.90408        32.17     1.7         1.1             0.0        0.00
   33          Valid   7/7  22/05/19  13:40:08  22/05/19  13:40:06.435     -1.565     54.54338      8.90418        39.79     1.5         2.1             0.0        0.00
   34          Valid   6/6  22/05/19  14:00:05  22/05/19  14:00:03.423     -1.577     54.54341      8.90408        40.10     2.3         0.2             0.0        0.00
   35          Valid   6/6  22/05/19  14:20:09  22/05/19  14:20:07.359     -1.641     54.54338      8.90413        34.08     1.5         0.8             0.0        0.00
   36          Valid   5/5  22/05/19  14:40:10  22/05/19  14:40:07.800     -2.200     54.54341      8.90415        34.11     2.9         0.4             0.0        0.00
   37          Valid   9/9  22/05/19  15:00:07  22/05/19  15:00:05.238     -1.762     54.54343      8.90411        37.79     0.9         2.1             0.0        0.00
   38          Valid   8/8  22/05/19  15:20:09  22/05/19  15:20:07.173     -1.827     54.54342      8.90413        38.49     1.2         1.0             0.0        0.00
   39          Valid   6/6  22/05/19  15:40:08  22/05/19  15:40:06.105     -1.895     54.54344      8.90417        36.54     1.3         1.2             0.0        0.00
   40          Valid   6/6  22/05/19  16:00:04  22/05/19  16:00:02.049     -1.951     54.54341      8.90413        36.88     1.2         0.7             0.0        0.00
   41          Valid   7/8  22/05/19  16:20:08  22/05/19  16:20:05.954     -2.046     54.54341      8.90412        34.68     1.3         2.4             0.0        0.00
   42          Valid   6/7  22/05/19  16:40:04  22/05/19  16:40:01.875     -2.125     54.54341      8.90407        36.48     1.4         0.6             0.0        0.00
   43          Valid   5/6  22/05/19  17:00:04  22/05/19  17:00:01.807     -2.193     54.54341      8.90408        36.09     1.9         0.4             0.0        0.00
   44          Valid   6/7  22/05/19  17:20:04  22/05/19  17:20:01.727     -2.273     54.54356      8.90403        42.72    11.9         0.3             0.0        0.00
   45          Valid   7/7  22/05/19  17:40:04  22/05/19  17:40:01.681     -2.319     54.54345      8.90411        41.40     2.0         0.8             0.0        0.00
   46          Valid   7/7  22/05/19  18:00:10  22/05/19  18:00:07.614     -2.386     54.54346      8.90411        42.46     1.4         0.7             0.0        0.00
   47          Valid   6/6  22/05/19  18:20:04  22/05/19  18:20:01.563     -2.437     54.54335      8.90405        42.93     4.5         1.4             0.0        0.00
   48          Valid   6/6  22/05/19  18:40:04  22/05/19  18:40:01.491     -2.509     54.54342      8.90413        39.01     2.4         0.9             0.0        0.00
   49          Valid   9/9  22/05/19  19:00:04  22/05/19  19:00:01.431     -2.569     54.54343      8.90414        42.68     1.0         1.4             0.0        0.00
   50          Valid   8/8  22/05/19  19:20:05  22/05/19  19:20:02.363     -2.637     54.54342      8.90408        39.34     1.1         1.0             0.0        0.00
   51          Valid   7/7  22/05/19  19:40:04  22/05/19  19:40:01.300     -2.700     54.54341      8.90409        40.85     1.4         0.8             0.0        0.00
