Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   8/9  22/05/29  04:03:06  22/05/29  04:03:03.635     -2.365     54.54053      8.92971        41.10     1.1         0.9             0.0        0.00
    2          Valid   7/7  22/05/30  03:00:11  22/05/30  03:00:03.798     -7.202     54.54264      8.91356        38.57     1.3         0.8             0.0        0.00
    3          Valid   6/7  22/05/30  03:20:05  22/05/30  03:20:05.377      0.377     54.54264      8.91360        34.05     1.2         0.6             0.0        0.00
    4          Valid   6/7  22/05/30  03:40:06  22/05/30  03:40:06.312      0.312     54.54262      8.91350        42.09     1.3         0.8             0.0        0.00
    5          Valid   6/6  22/05/30  04:00:06  22/05/30  04:00:06.253      0.253     54.54262      8.91353        40.22     1.5         0.7             0.0        0.00
    6          Valid   7/8  22/05/30  04:20:06  22/05/30  04:20:06.190      0.190     54.54264      8.91359        38.77     1.5         0.5             0.0        0.00
    7          Valid   8/8  22/05/30  04:40:07  22/05/30  04:40:07.090      0.090     54.54261      8.91351        38.86     1.1         1.9             0.0        0.00
    8          Valid   7/8  22/05/30  05:00:11  22/05/30  05:00:10.405     -0.595     54.54259      8.91362        39.17     2.1         0.7             0.0        0.00
    9          Valid   6/6  22/05/30  05:20:08  22/05/30  05:20:07.971     -0.029     54.54261      8.91354        36.18     3.0         0.7             0.0        0.00
   10          Valid   6/6  22/05/30  05:40:09  22/05/30  05:40:08.907     -0.093     54.54264      8.91361        36.65     2.5         0.5             0.0        0.00
   11          Valid   6/6  22/05/30  06:00:08  22/05/30  06:00:07.854     -0.146     54.54267      8.91362        36.78     2.1         0.3             0.0        0.00
   12          Valid   7/7  22/05/30  06:20:07  22/05/30  06:20:06.808     -0.192     54.54263      8.91365        36.09     1.1         1.2             0.0        0.00
   13          Valid   6/6  22/05/30  06:40:07  22/05/30  06:40:06.731     -0.269     54.54261      8.91364        36.32     1.6         0.5             0.0        0.00
   14          Valid   6/6  22/05/30  07:00:05  22/05/30  07:00:04.666     -0.334     54.54263      8.91361        36.25     1.6         1.2             0.0        0.00
   15          Valid   6/6  22/05/30  07:20:04  22/05/30  07:20:03.631     -0.369     54.54263      8.91352        37.24     2.1         0.6             0.0        0.00
   16          Valid   6/6  22/05/30  07:40:05  22/05/30  07:40:04.568     -0.432     54.54262      8.91362        38.56     1.8         0.5             0.0        0.00
   17          Valid   8/8  22/05/30  08:00:06  22/05/30  08:00:05.510     -0.490     54.54262      8.91359        39.33     1.6         1.1             0.0        0.00
   18          Valid   6/6  22/05/30  08:20:05  22/05/30  08:20:04.450     -0.550     54.54263      8.91357        38.53     2.0         1.4             0.0        0.00
   19          Valid   9/9  22/05/30  08:40:08  22/05/30  08:40:07.368     -0.632     54.54261      8.91358        39.39     0.9         1.5             0.0        0.00
   20          Valid   4/5  22/05/30  09:00:11  22/05/30  09:00:09.788     -1.212     54.54264      8.91345        39.39    10.1         0.3             0.0        0.00
   21          Valid   9/9  22/05/30  09:20:07  22/05/30  09:20:06.280     -0.720     54.54034      8.89878        33.66     0.9         1.1             0.0        0.00
   22          Valid   6/6  22/05/30  09:40:04  22/05/30  09:40:03.178     -0.822     54.54018      8.89801        41.14     1.3         0.7             0.0        0.00
   23          Valid   7/7  22/05/30  10:00:07  22/05/30  10:00:06.148     -0.852     54.54025      8.89757        36.83     1.3         0.8             0.0        0.00
   24          Valid   8/8  22/05/30  10:20:08  22/05/30  10:20:07.087     -0.913     54.54046      8.89844        36.19     1.4         2.3             0.0        0.00
   25          Valid   7/7  22/05/30  10:40:07  22/05/30  10:40:06.031     -0.969     54.54035      8.89724        34.83     1.7         0.5             0.0        0.00
   26          Valid   6/6  22/05/30  11:00:05  22/05/30  11:00:03.967     -1.033     54.53996      8.89840        35.02     2.0         0.1             0.0        0.00
   27          Valid   6/6  22/05/30  11:20:10  22/05/30  11:20:08.401     -1.599     54.53946      8.89831        33.89     1.4         0.5             0.0        0.00
   28          Valid   7/7  22/05/30  11:40:08  22/05/30  11:40:06.830     -1.170     54.54260      8.91359        34.16     1.2         0.3             0.0        0.00
   29          Valid   6/6  22/05/30  12:00:06  22/05/30  12:00:04.770     -1.230     54.54262      8.91362        37.08     1.5         0.7             0.0        0.00
   30          Valid   8/8  22/05/30  12:20:09  22/05/30  12:20:07.707     -1.293     54.54263      8.91358        34.86     1.0         1.0             0.0        0.00
   31          Valid   6/6  22/05/30  12:40:05  22/05/30  12:40:03.653     -1.347     54.54263      8.91352        35.49     1.8         0.6             0.0        0.00
   32          Valid   8/8  22/05/30  13:00:09  22/05/30  13:00:07.590     -1.410     54.54261      8.91360        37.63     1.4         2.6             0.0        0.00
   33          Valid   5/5  22/05/30  13:20:07  22/05/30  13:20:05.525     -1.475     54.54261      8.91362        37.75     2.7         0.2             0.0        0.00
   34          Valid   6/6  22/05/30  13:40:09  22/05/30  13:40:07.464     -1.536     54.54259      8.91361        38.30     3.2         0.6             0.0        0.00
   35          Valid   4/4  22/05/30  14:00:08  22/05/30  14:00:06.420     -1.580     54.54252      8.91373        38.30    10.3         0.0             0.0        0.00
   36          Valid   7/7  22/05/30  14:20:06  22/05/30  14:20:04.348     -1.652     54.54260      8.91355        34.75     1.3         2.0             0.0        0.00
