Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   5/5  22/05/03  07:01:11  22/05/03  07:01:09.089     -1.911     54.53918      8.89168        40.16     9.0         0.4             0.0        0.00
    2          Valid   7/7  22/05/19  03:20:11  22/05/19  03:20:04.604     -6.396     54.53943      8.90145        41.87     1.7         1.0             0.0        0.00
    3          Valid   9/9  22/05/19  03:40:07  22/05/19  03:40:07.115      0.115     54.54314      8.90527        37.38     0.9         1.2             0.0        0.00
    4          Valid   7/7  22/05/19  04:00:04  22/05/19  04:00:04.044      0.044     54.54316      8.90550        38.58     1.3         0.4             0.0        0.00
    5          Valid   6/7  22/05/19  04:20:04  22/05/19  04:20:03.984     -0.016     54.54313      8.90528        39.21     1.7         0.5             0.0        0.00
    6          Valid   8/9  22/05/19  04:40:07  22/05/19  04:40:06.918     -0.082     54.54312      8.90557        39.94     1.1         1.9             0.0        0.00
    7          Valid   8/9  22/05/19  05:00:06  22/05/19  05:00:05.851     -0.149     54.54322      8.90557        54.35     1.0         1.4             0.0        0.00
    8          Valid   4/5  22/05/19  05:20:07  22/05/19  05:20:06.789     -0.211     54.54327      8.90526        54.35     2.8         0.0             0.0        0.00
    9          Valid   8/8  22/05/19  05:40:09  22/05/19  05:40:08.729     -0.271     54.54338      8.90524        40.88     1.0         1.0             0.0        0.00
   10          Valid   7/8  22/05/19  06:00:08  22/05/19  06:00:07.630     -0.370     54.54332      8.90534        43.76     1.4         0.6             0.0        0.00
   11          Valid   6/7  22/05/19  06:20:05  22/05/19  06:20:04.602     -0.398     54.54318      8.90530        45.72     1.3         1.4             0.0        0.00
   12          Valid   6/6  22/05/19  06:40:04  22/05/19  06:40:03.549     -0.451     54.54324      8.90527        42.07     2.0         1.3             0.0        0.00
   13          Valid   6/7  22/05/19  07:00:05  22/05/19  07:00:04.477     -0.523     54.54326      8.90521        42.82     1.5         0.7             0.0        0.00
   14          Valid   8/9  22/05/19  07:20:08  22/05/19  07:20:07.413     -0.587     54.54313      8.90566        44.42     1.0         1.0             0.0        0.00
   15          Valid   6/7  22/05/19  07:40:05  22/05/19  07:40:04.319     -0.681     54.54319      8.90558        44.51     1.6         0.7             0.0        0.00
   16          Valid   6/6  22/05/19  08:00:08  22/05/19  08:00:07.300     -0.700     54.54322      8.90544        44.70     1.3         0.9             0.0        0.00
   17          Valid   5/6  22/05/19  08:20:07  22/05/19  08:20:06.238     -0.762     54.54316      8.90548        44.58     7.0         0.7             0.0        0.00
   18          Valid   6/7  22/05/19  08:40:06  22/05/19  08:40:05.168     -0.832     54.54312      8.90571        43.26     2.2         0.7             0.0        0.00
   19          Valid   6/7  22/05/19  09:00:05  22/05/19  09:00:04.120     -0.880     54.54329      8.90521        41.83     1.9         1.2             0.0        0.00
   20          Valid   8/9  22/05/19  09:20:10  22/05/19  09:20:09.059     -0.941     54.54326      8.90526        41.56     1.2         1.7             0.0        0.00
