Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   6/7  22/05/17  16:03:07  22/05/17  16:03:07.316      0.316     54.54082      8.89503        32.98     1.5         0.7             0.0        0.00
    2          Valid   6/7  22/05/18  16:03:10  22/05/18  16:03:06.204     -3.796     54.54287      8.91195        34.44     2.1         0.8             0.0        0.00
    3          Valid   6/7  22/05/19  03:20:08  22/05/19  03:20:02.896     -5.104     54.54285      8.91194        34.79     1.6         0.3             0.0        0.00
    4          Valid   6/7  22/05/19  03:40:05  22/05/19  03:39:59.845     -5.155     54.54287      8.91197        35.97     1.3         0.9             0.0        0.00
    5          Valid   5/6  22/05/19  04:00:04  22/05/19  03:59:58.792     -5.208     54.54286      8.91194        36.48     1.4         0.5             0.0        0.00
    6          Valid   7/8  22/05/19  04:20:04  22/05/19  04:19:58.739     -5.261     54.54289      8.91197        45.11     1.0         0.8             0.0        0.00
    7          Valid   8/9  22/05/19  04:40:07  22/05/19  04:40:01.682     -5.318     54.54288      8.91196        45.47     1.0         1.9             0.0        0.00
    8          Valid   6/7  22/05/19  05:00:04  22/05/19  04:59:58.633     -5.367     54.54286      8.91194        44.32     1.5         0.6             0.0        0.00
    9          Valid   6/7  22/05/19  05:20:05  22/05/19  05:19:59.583     -5.417     54.54287      8.91198        42.44     1.4         0.4             0.0        0.00
   10          Valid   7/7  22/05/19  05:40:07  22/05/19  05:40:01.525     -5.475     54.54289      8.91185        43.75     2.6         1.5             0.0        0.00
   11          Valid   6/6  22/05/19  06:00:08  22/05/19  06:00:02.481     -5.519     54.54286      8.91198        42.05     1.7         0.6             0.0        0.00
   12          Valid   7/9  22/05/19  06:20:10  22/05/19  06:20:04.428     -5.572     54.54289      8.91199        46.59     1.2         1.1             0.0        0.00
   13          Valid   8/9  22/05/19  06:40:08  22/05/19  06:40:07.381     -0.619     54.54284      8.91195        38.67     1.3         1.9             0.0        0.00
   14          Valid   9/9  22/05/19  07:00:07  22/05/19  07:00:06.328     -0.672     54.54288      8.91198        39.69     0.9         0.7             0.0        0.00
   15          Valid   6/6  22/05/19  07:20:04  22/05/19  07:20:03.314     -0.686     54.54289      8.91191        40.40     1.2         1.2             0.0        0.00
   16          Valid   7/8  22/05/19  07:40:04  22/05/19  07:40:03.233     -0.767     54.54289      8.91197        39.45     1.1         0.8             0.0        0.00
   17          Valid   8/9  22/05/19  08:00:06  22/05/19  08:00:05.190     -0.810     54.54285      8.91194        40.33     1.2         0.9             0.0        0.00
   18          Valid   5/6  22/05/19  08:20:05  22/05/19  08:20:04.134     -0.866     54.54287      8.91192        39.98     1.6         0.2             0.0        0.00
   19          Valid   6/7  22/05/19  08:40:07  22/05/19  08:40:06.092     -0.908     54.54290      8.91200        39.17     1.7         0.5             0.0        0.00
   20          Valid   5/6  22/05/19  09:00:07  22/05/19  09:00:06.037     -0.963     54.54286      8.91194        39.26     2.4         0.1             0.0        0.00
   21          Valid   6/7  22/05/19  09:20:04  22/05/19  09:20:03.001     -0.999     54.54289      8.91198        39.88     1.5         1.0             0.0        0.00
   22          Valid   8/9  22/05/19  09:40:08  22/05/19  09:40:06.948     -1.052     54.54288      8.91194        39.25     1.0         1.5             0.0        0.00
   23          Valid   8/8  22/05/19  10:00:07  22/05/19  10:00:05.900     -1.100     54.54287      8.91195        38.60     1.0         0.7             0.0        0.00
   24          Valid   7/7  22/05/19  10:20:08  22/05/19  10:20:06.882     -1.118     54.54286      8.91193        27.89     1.1         2.1             0.0        0.00
   25          Valid   7/7  22/05/19  10:40:04  22/05/19  10:40:02.804     -1.196     54.54285      8.91199        33.95     1.4         0.7             0.0        0.00
   26          Valid   6/6  22/05/19  11:00:06  22/05/19  11:00:04.752     -1.248     54.54287      8.91203        34.53     1.9         1.0             0.0        0.00
   27          Valid   6/6  22/05/19  11:20:05  22/05/19  11:20:03.697     -1.303     54.54285      8.91195        34.92     2.6         0.3             0.0        0.00
   28          Valid   7/8  22/05/19  11:40:11  22/05/19  11:40:09.010     -1.990     54.54287      8.91201        36.23     1.0         0.7             0.0        0.00
   29          Valid   8/8  22/05/19  12:00:07  22/05/19  12:00:05.601     -1.399     54.54288      8.91198        45.13     1.2         2.2             0.0        0.00
   30          Valid   7/7  22/05/19  12:20:09  22/05/19  12:20:07.553     -1.447     54.54286      8.91193        34.57     1.2         1.5             0.0        0.00
   31          Valid   7/7  22/05/19  12:40:09  22/05/19  12:40:07.505     -1.495     54.54283      8.91163        36.24     1.2         0.6             0.0        0.00
   32          Valid   7/7  22/05/19  13:00:09  22/05/19  13:00:07.498     -1.502     54.54289      8.91194        37.47     1.5         1.3             0.0        0.00
   33          Valid   8/8  22/05/19  13:20:04  22/05/19  13:20:02.422     -1.578     54.54287      8.91195        39.72     1.4         1.4             0.0        0.00
   34          Valid   8/8  22/05/19  13:40:06  22/05/19  13:40:04.368     -1.632     54.54282      8.91188        33.55     1.7         2.4             0.0        0.00
   35          Valid   6/6  22/05/19  14:00:04  22/05/19  14:00:02.333     -1.667     54.54285      8.91195        37.06     1.6         0.5             0.0        0.00
   36          Valid   7/7  22/05/19  14:20:05  22/05/19  14:20:03.292     -1.708     54.54285      8.91196        36.22     1.7         1.0             0.0        0.00
