Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   7/7  22/04/22  13:00:04  22/04/22  12:58:47.859    -76.141     23.91225   -106.96097       -19.64     1.1         1.0             0.0        0.00
    2          Valid   7/7  22/04/23  04:00:11  22/04/23  03:58:52.205    -78.795     23.91441   -106.96296       -28.47     1.5         1.1             0.0        0.00
    3          Valid   8/9  22/04/23  16:00:06  22/04/23  16:00:04.044     -1.956     23.91421   -106.96354       -31.57     1.3         2.0             0.0        0.00
    4          Valid   8/8  22/04/24  04:00:04  22/04/24  04:00:00.405     -3.595     23.91363   -106.96412       -30.57     1.0         0.9             0.0        0.00
    5          Valid   8/9  22/04/24  16:00:07  22/04/24  16:00:01.620     -5.380     23.91359   -106.96456       -32.17     1.2         0.7             0.0        0.00
    6          Valid   6/6  22/04/25  04:00:04  22/04/25  03:59:56.988     -7.012     23.91364   -106.96412       -26.87     1.6         0.9             0.0        0.00
    7          Valid   7/8  22/04/25  16:00:04  22/04/25  15:59:55.210     -8.790     23.91408   -106.96424       -25.97     1.6         0.7             0.0        0.00
    8          Valid   7/7  22/04/26  04:00:09  22/04/26  03:59:58.545    -10.455     23.91410   -106.96534       -26.65     1.5         1.0             0.0        0.00
    9          Valid   7/8  22/04/26  16:00:04  22/04/26  15:59:51.758    -12.242     23.91396   -106.96511       -27.45     1.2         0.9             0.0        0.00
   10          Valid   6/6  22/04/27  04:00:05  22/04/27  03:59:51.136    -13.864     23.91412   -106.96507       -27.40     8.2         1.2             0.0        0.00
   11          Valid   8/9  22/04/27  16:00:04  22/04/27  15:59:48.360    -15.640     23.91419   -106.96593       -22.53     1.4         0.5             0.0        0.00
   12          Valid   8/8  22/04/28  04:00:04  22/04/28  03:59:46.701    -17.299     23.91430   -106.96448       -25.25     1.4         0.8             0.0        0.00
   13          Valid   5/6  22/04/28  16:00:05  22/04/28  15:59:45.910    -19.090     23.91436   -106.96612       -24.49     2.5         0.6             0.0        0.00
   14          Valid   7/7  22/04/29  04:00:04  22/04/29  03:59:43.283    -20.717     23.91428   -106.96411       -22.79     3.2         0.5             0.0        0.00
