Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   5/6  22/06/10  13:00:04  22/06/10  12:59:05.852    -58.148     23.91509   -106.96266       -34.42    10.1         0.6             0.0        0.00
    2          Valid   8/9  22/06/12  12:00:10  22/06/12  11:59:05.396    -64.604     23.91539   -106.96336       -25.17     1.0         1.2             0.0        0.00
    3          Valid   6/7  22/06/12  12:20:04  22/06/12  12:20:03.958     -0.042     23.91538   -106.96326       -26.44     1.3         0.6             0.0        0.00
    4          Valid   6/7  22/06/12  12:40:04  22/06/12  12:40:03.881     -0.119     23.91536   -106.96334       -25.13     2.2         0.4             0.0        0.00
    5          Valid   6/7  22/06/12  13:00:05  22/06/12  13:00:04.857     -0.143     23.91537   -106.96335       -23.02     2.7         0.6             0.0        0.00
    6          Valid   7/8  22/06/12  13:20:04  22/06/12  13:20:03.807     -0.193     23.91537   -106.96333       -22.51     2.9         0.3             0.0        0.00
    7          Valid   7/8  22/06/12  13:40:04  22/06/12  13:40:03.725     -0.275     23.91537   -106.96332       -24.02     1.9         0.5             0.0        0.00
    8          Valid   7/7  22/06/12  14:00:04  22/06/12  14:00:03.677     -0.323     23.91541   -106.96334       -22.06     1.6         0.6             0.0        0.00
    9          Valid   7/8  22/06/12  14:20:04  22/06/12  14:20:03.640     -0.360     23.91538   -106.96333       -22.16     1.4         0.4             0.0        0.00
   10          Valid   7/7  22/06/12  14:40:04  22/06/12  14:40:03.631     -0.369     23.91539   -106.96328       -23.44     1.2         0.6             0.0        0.00
   11          Valid   7/8  22/06/12  15:00:04  22/06/12  15:00:03.591     -0.409     23.91539   -106.96327       -23.68     1.7         1.2             0.0        0.00
   12          Valid   8/9  22/06/12  15:20:04  22/06/12  15:20:03.495     -0.505     23.91534   -106.96330       -21.29     1.6         1.4             0.0        0.00
   13          Valid   8/9  22/06/12  15:40:04  22/06/12  15:40:03.500     -0.500     23.91540   -106.96329       -21.78     1.1         0.6             0.0        0.00
   14          Valid   8/9  22/06/12  16:00:05  22/06/12  16:00:04.455     -0.545     23.91538   -106.96329       -22.77     1.1         1.0             0.0        0.00
   15          Valid   8/9  22/06/12  16:20:04  22/06/12  16:20:03.424     -0.576     23.91540   -106.96334       -26.43     1.3         0.7             0.0        0.00
   16          Valid   7/8  22/06/12  16:40:04  22/06/12  16:40:03.391     -0.609     23.91539   -106.96331       -25.80     1.8         0.5             0.0        0.00
   17          Valid   8/9  22/06/12  17:00:04  22/06/12  17:00:03.368     -0.632     23.91539   -106.96331       -25.47     1.3         0.6             0.0        0.00
   18          Valid   8/8  22/06/12  17:20:04  22/06/12  17:20:03.323     -0.677     23.91539   -106.96335       -26.16     1.2         1.0             0.0        0.00
   19          Valid   8/9  22/06/12  17:40:04  22/06/12  17:40:03.287     -0.713     23.91539   -106.96335       -27.71     1.2         1.0             0.0        0.00
   20          Valid   8/9  22/06/12  18:00:04  22/06/12  18:00:03.255     -0.745     23.91538   -106.96329       -24.19     1.8         0.7             0.0        0.00
   21          Valid   8/8  22/06/12  18:20:04  22/06/12  18:20:03.237     -0.763     23.91538   -106.96330       -23.20     1.3         1.2             0.0        0.00
   22          Valid   7/8  22/06/12  18:40:04  22/06/12  18:40:03.197     -0.803     23.91539   -106.96329       -22.43     2.5         0.8             0.0        0.00
   23          Valid   7/7  22/06/12  19:00:06  22/06/12  19:00:05.196     -0.804     23.91529   -106.96351       -24.65     1.2         0.6             0.0        0.00
   24          Valid   6/6  22/06/12  19:20:04  22/06/12  19:20:03.139     -0.861     23.91538   -106.96335       -25.47     2.5         1.9             0.0        0.00
   25          Valid   8/8  22/06/12  19:40:04  22/06/12  19:40:03.136     -0.864     23.91541   -106.96336       -24.66     1.6         1.5             0.0        0.00
   26          Valid   9/9  22/06/12  20:00:04  22/06/12  20:00:03.092     -0.908     23.91541   -106.96330       -23.39     1.1         1.0             0.0        0.00
   27          Valid   8/8  22/06/12  20:20:04  22/06/12  20:20:03.074     -0.926     23.91541   -106.96327       -24.47     1.2         0.8             0.0        0.00
   28          Valid   7/7  22/06/12  20:40:04  22/06/12  20:40:03.067     -0.933     23.91540   -106.96329       -27.02     1.4         1.3             0.0        0.00
   29          Valid   9/9  22/06/12  21:00:04  22/06/12  21:00:03.023     -0.977     23.91540   -106.96334       -27.85     1.0         0.7             0.0        0.00
   30          Valid   9/9  22/06/12  21:20:04  22/06/12  21:20:02.996     -1.004     23.91541   -106.96325       -27.36     0.9         0.7             0.0        0.00
   31          Valid   9/9  22/06/12  21:40:05  22/06/12  21:40:03.972     -1.028     23.91540   -106.96329       -26.22     0.9         0.8             0.0        0.00
   32          Valid   6/6  22/06/12  22:00:04  22/06/12  22:00:02.938     -1.062     23.91539   -106.96334       -26.18     1.2         0.4             0.0        0.00
   33          Valid   7/7  22/06/12  22:20:04  22/06/12  22:20:02.893     -1.107     23.91562   -106.96356       -26.00     1.3         1.1             0.0        0.00
   34          Valid   6/6  22/06/12  22:40:05  22/06/12  22:40:03.881     -1.119     23.91543   -106.96331       -24.46     2.0         1.2             0.0        0.00
   35          Valid   7/7  22/06/12  23:00:04  22/06/12  23:00:02.840     -1.160     23.91541   -106.96334       -24.29     1.2         0.5             0.0        0.00
   36          Valid   6/6  22/06/12  23:20:05  22/06/12  23:20:03.786     -1.214     23.91534   -106.96338       -22.12     1.4         0.5             0.0        0.00
   37          Valid   8/8  22/06/12  23:40:05  22/06/12  23:40:03.771     -1.229     23.91540   -106.96331       -22.53     1.0         0.4             0.0        0.00
   38          Valid   9/9  22/06/13  00:00:06  22/06/13  00:00:04.754     -1.246     23.91537   -106.96420       -21.69     1.1         0.9             0.0        0.00
   39          Valid   6/6  22/06/13  00:20:04  22/06/13  00:20:02.710     -1.290     23.92555   -106.97454       -18.92     1.6         2.2             0.0        0.00
   40          Valid   7/7  22/06/13  00:40:06  22/06/13  00:40:04.665     -1.335     23.92639   -106.97477       -19.72     1.1         0.7             0.0        0.00
   41          Valid   7/7  22/06/13  01:00:05  22/06/13  01:00:03.628     -1.372     23.92734   -106.97482       -20.75     2.0         0.6             0.0        0.00
   42          Valid   6/6  22/06/13  01:20:04  22/06/13  01:20:02.576     -1.424     23.92657   -106.97484       -23.27     1.7         0.8             0.0        0.00
   43          Valid   6/6  22/06/13  01:40:08  22/06/13  01:40:06.521     -1.479     23.92646   -106.97472       -23.93     1.8         0.4             0.0        0.00
