Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   6/6  22/04/22  13:00:07  22/04/22  12:58:45.532    -81.468     23.91226   -106.96097       -20.23     2.3         0.6             0.0        0.00
    2          Valid   9/9  22/04/23  04:00:11  22/04/23  03:58:46.802    -84.198     23.93467   -106.96679       -25.08     1.0         0.9             0.0        0.00
    3          Valid   8/9  22/04/23  16:00:10  22/04/23  16:00:08.414     -1.586     23.91676   -106.95957       -27.10     1.1         0.9             0.0        0.00
    4          Valid   6/6  22/04/24  04:00:04  22/04/24  04:00:00.619     -3.381     23.91611   -106.96160       -26.88     2.8         0.6             0.0        0.00
    5          Valid   6/7  22/04/24  16:00:04  22/04/24  15:59:58.690     -5.310     23.91294   -106.96100       -26.17     2.3         0.8             0.0        0.00
    6          Valid   8/8  22/04/25  04:00:08  22/04/25  04:00:00.940     -7.060     23.94511   -106.97744       -23.81     1.6         0.8             0.0        0.00
    7          Valid   7/8  22/04/25  16:00:05  22/04/25  15:59:56.059     -8.941     23.91300   -106.96348       -32.24     3.3         0.9             0.0        0.00
    8          Valid   7/7  22/04/26  04:00:04  22/04/26  03:59:53.339    -10.661     23.91948   -106.96118       -29.52     1.7         0.5             0.0        0.00
    9          Valid   6/7  22/04/26  16:00:05  22/04/26  15:59:52.396    -12.604     23.91330   -106.96390       -30.34     3.4         0.3             0.0        0.00
   10          Valid   8/8  22/04/27  04:00:07  22/04/27  03:59:52.651    -14.349     23.91506   -106.96165       -29.70     1.0         0.7             0.0        0.00
   11          Valid   4/5  22/04/27  16:00:10  22/04/27  15:59:53.202    -16.798     23.91441   -106.96595       -29.69     9.0         0.1             0.0        0.00
   12          Valid   7/7  22/04/28  04:00:04  22/04/28  04:00:02.011     -1.989     23.91611   -106.96151       -29.37     1.5         0.7             0.0        0.00
   13          Valid   6/7  22/04/28  16:00:04  22/04/28  16:00:00.127     -3.873     23.91326   -106.96381       -26.33     2.5         0.9             0.0        0.00
   14          Valid   7/7  22/04/29  04:00:07  22/04/29  04:00:01.459     -5.541     23.91523   -106.96191       -19.12     1.1         3.6             0.0        0.00
