Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   8/8  22/04/19  01:00:08  22/04/19  00:59:01.176    -66.824     23.91229   -106.96097       -33.69     1.0         0.8             0.0        0.00
    2          Valid   7/7  22/04/21  12:00:11  22/04/21  11:58:54.400    -76.600     23.94488   -106.97731       -25.05     1.1         0.5             0.0        0.00
    3          Valid   6/6  22/04/21  12:20:04  22/04/21  12:20:03.914     -0.086     23.94300   -106.97656       -25.04     1.2         0.3             0.0        0.00
    4          Valid   5/5  22/04/21  12:40:08  22/04/21  12:40:07.851     -0.149     23.94476   -106.97701       -25.07     1.9         0.4             0.0        0.00
    5          Valid   6/6  22/04/21  13:00:04  22/04/21  13:00:03.794     -0.206     23.94454   -106.97727       -25.87     1.4         0.6             0.0        0.00
    6          Valid   6/6  22/04/21  13:20:04  22/04/21  13:20:03.744     -0.256     23.94480   -106.97769       -26.48     2.2         0.4             0.0        0.00
    7          Valid   6/6  22/04/21  13:40:04  22/04/21  13:40:03.686     -0.314     23.94391   -106.97705       -34.22     2.0         0.7             0.0        0.00
    8          Valid   5/5  22/04/21  14:00:08  22/04/21  14:00:07.625     -0.375     23.94383   -106.97693       -30.90     2.4         0.6             0.0        0.00
    9          Valid   5/6  22/04/21  14:20:05  22/04/21  14:20:04.610     -0.390     23.94381   -106.97709       -31.05     3.8         0.1             0.0        0.00
   10          Valid   7/8  22/04/21  14:40:04  22/04/21  14:40:03.514     -0.486     23.94385   -106.97700       -29.59     1.3         0.9             0.0        0.00
   11          Valid   8/9  22/04/21  15:00:07  22/04/21  15:00:06.517     -0.483     23.94397   -106.97705       -29.72     1.1         0.9             0.0        0.00
   12          Valid   6/7  22/04/21  15:20:04  22/04/21  15:20:03.445     -0.555     23.94385   -106.97709       -29.71     1.6         0.5             0.0        0.00
