Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   8/8  22/05/06  13:00:08  22/05/06  13:00:08.715      0.715     23.91227   -106.96094       -21.57     1.2         2.1             0.0        0.00
    2          Valid   7/7  22/05/07  16:00:10  22/05/07  16:00:05.987     -4.013     23.92003   -106.96288       -30.10     1.5         1.0             0.0        0.00
    3          Valid   8/8  22/05/08  04:00:06  22/05/08  04:00:01.154     -4.846     23.92030   -106.96513       -31.95     1.4         1.1             0.0        0.00
    4          Valid   3/4  22/05/08  16:00:11  22/05/08  16:00:03.600     -7.400     23.92015   -106.96178       -31.94     4.7         0.0             0.0        0.00
    5          Valid   6/6  22/05/09  04:00:04  22/05/09  04:00:02.988     -1.012     23.92011   -106.96519       -29.12     1.6         0.6             0.0        0.00
    6          Valid   6/6  22/05/09  16:00:04  22/05/09  16:00:01.030     -2.970     23.91722   -106.95790       -23.96     2.1         0.5             0.0        0.00
    7          Valid   7/7  22/05/10  04:00:04  22/05/10  03:59:59.947     -4.053     23.92170   -106.96535       -28.07     1.8         0.5             0.0        0.00
    8          Valid   6/7  22/05/10  16:00:05  22/05/10  15:59:58.970     -6.030     23.92014   -106.96178       -28.83     2.3         0.5             0.0        0.00
    9          Valid   6/6  22/05/11  04:00:04  22/05/11  03:59:56.792     -7.208     23.92114   -106.96480       -23.02     1.5         0.9             0.0        0.00
   10          Valid   6/7  22/05/11  16:00:04  22/05/11  15:59:54.764     -9.236     23.92014   -106.96175       -25.59     2.0         0.8             0.0        0.00
   11          Valid   7/7  22/05/12  04:00:10  22/05/12  03:59:59.496    -10.504     23.92735   -106.97449       -24.19     1.2         0.7             0.0        0.00
   12          Valid   6/7  22/05/12  16:00:04  22/05/12  16:00:01.600     -2.400     23.92017   -106.96174       -23.52     1.9         0.7             0.0        0.00
   13          Valid   3/3  22/05/13  04:00:11  22/05/13  04:00:07.400     -3.600     23.92636   -106.97207       -23.39     2.7         0.3             0.0        0.00
   14          Valid   7/8  22/05/13  16:00:04  22/05/13  15:59:58.480     -5.520     23.91957   -106.96041       -25.36     1.5         1.1             0.0        0.00
   15          Valid   9/9  22/05/14  04:00:06  22/05/14  03:59:59.309     -6.691     23.92779   -106.97499       -25.03     1.3         1.6             0.0        0.00
   16          Valid   8/9  22/05/14  16:00:06  22/05/14  15:59:57.355     -8.645     23.92013   -106.96169       -27.21     1.3         0.6             0.0        0.00
   17          Valid   6/6  22/05/15  04:00:04  22/05/15  03:59:54.192     -9.808     23.92998   -106.97701       -26.85     1.3         0.7             0.0        0.00
   18          Valid   6/7  22/05/15  16:00:04  22/05/15  15:59:52.288    -11.712     23.92014   -106.96175       -26.35     1.8         0.7             0.0        0.00
   19          Valid   8/8  22/05/16  04:00:07  22/05/16  03:59:54.167    -12.833     23.92788   -106.97166       -25.65     1.1         1.1             0.0        0.00
   20          Valid   8/9  22/05/16  16:00:05  22/05/16  15:59:50.147    -14.853     23.92804   -106.97143       -25.55     1.2         1.0             0.0        0.00
   21          Valid   6/6  22/05/17  04:00:08  22/05/17  03:59:51.503    -16.497     23.92648   -106.97099       -23.66     1.5         0.4             0.0        0.00
   22          Valid   7/8  22/05/17  16:00:04  22/05/17  15:59:45.537    -18.463     23.92016   -106.96178       -23.62     1.6         0.4             0.0        0.00
   23          Valid   8/8  22/05/18  04:00:07  22/05/18  03:59:47.145    -19.855     23.92664   -106.97140       -28.64     1.8         0.6             0.0        0.00
   24          Valid   6/7  22/05/18  16:00:04  22/05/18  15:59:42.184    -21.816     23.92016   -106.96172       -28.05     1.5         1.0             0.0        0.00
   25          Valid   8/8  22/05/19  04:00:08  22/05/19  03:59:44.913    -23.087     23.92642   -106.97180       -24.97     1.1         0.5             0.0        0.00
   26          Valid   7/7  22/05/19  16:00:05  22/05/19  15:59:39.956    -25.044     23.91995   -106.96160       -28.51     1.3         1.4             0.0        0.00
   27          Valid   7/7  22/05/20  04:00:07  22/05/20  03:59:40.611    -26.389     23.92640   -106.97116       -24.52     1.0         0.9             0.0        0.00
   28          Valid   6/7  22/05/20  16:00:05  22/05/20  15:59:36.647    -28.353     23.92015   -106.96170       -25.59     1.8         0.8             0.0        0.00
   29          Valid   6/6  22/05/21  04:00:04  22/05/21  03:59:33.997    -30.003     23.92664   -106.97146       -26.95     2.4         0.5             0.0        0.00
   30          Valid   6/7  22/05/21  16:00:05  22/05/21  15:59:33.041    -31.959     23.92013   -106.96177       -26.39     1.4         1.0             0.0        0.00
   31          Valid   9/9  22/05/22  04:00:07  22/05/22  03:59:33.616    -33.384     23.93216   -106.97426       -23.90     0.9         0.6             0.0        0.00
   32          Valid   7/8  22/05/22  16:00:05  22/05/22  15:59:29.658    -35.342     23.92011   -106.96165       -25.20     1.6         1.0             0.0        0.00
   33          Valid   6/6  22/05/23  04:00:04  22/05/23  03:59:27.174    -36.826     23.92630   -106.97137       -25.81     1.2         0.3             0.0        0.00
   34          Valid   7/8  22/05/23  16:00:05  22/05/23  15:59:26.197    -38.803     23.92006   -106.96166       -15.07     1.8         0.6             0.0        0.00
   35          Valid   9/9  22/05/24  04:00:10  22/05/24  03:59:29.531    -40.469     23.92665   -106.97437       -21.52     0.8         2.4             0.0        0.00
   36          Valid   8/9  22/05/24  16:00:04  22/05/24  16:00:01.559     -2.441     23.91801   -106.96188       -22.40     1.1         1.2             0.0        0.00
   37          Valid   8/8  22/05/25  04:00:07  22/05/25  04:00:02.819     -4.181     23.92735   -106.97098       -25.58     1.2         1.3             0.0        0.00
   38          Valid   7/9  22/05/25  16:00:09  22/05/25  16:00:02.888     -6.112     23.91908   -106.96283       -19.60     1.7         0.8             0.0        0.00
   39          Valid   7/7  22/05/26  04:00:05  22/05/26  03:59:57.097     -7.903     23.92880   -106.97790       -24.86     1.2         0.6             0.0        0.00
   40          Valid   6/7  22/05/26  16:00:05  22/05/26  15:59:55.140     -9.860     23.91926   -106.96279       -25.81     2.4         0.4             0.0        0.00
   41          Valid   8/8  22/05/27  04:00:07  22/05/27  03:59:55.425    -11.575     23.92807   -106.97779       -17.72     1.0         0.5             0.0        0.00
   42          Valid   5/6  22/05/27  16:00:04  22/05/27  15:59:50.467    -13.533     23.91919   -106.96293       -17.62     1.6         0.3             0.0        0.00
   43          Valid   7/7  22/05/28  04:00:07  22/05/28  03:59:51.800    -15.200     23.93225   -106.97407       -21.53     1.1         0.7             0.0        0.00
   44          Valid   5/6  22/05/28  16:00:04  22/05/28  15:59:46.785    -17.215     23.91875   -106.96261       -21.29    13.5         0.4             0.0        0.00
   45          Valid   8/8  22/05/29  04:00:10  22/05/29  03:59:51.215    -18.785     23.92979   -106.97741       -19.62     1.2         2.0             0.0        0.00
   46          Valid   7/8  22/05/29  16:00:05  22/05/29  16:00:02.308     -2.692     23.91939   -106.96262       -23.91     1.1         1.1             0.0        0.00
