Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   6/6  22/06/17  01:00:10  22/06/17  00:59:21.796    -48.204     23.94661   -106.97886       -18.37     1.7         0.8             0.0        0.00
    2          Valid   4/4  22/06/19  12:00:10  22/06/19  11:59:12.205    -57.795     23.94714   -106.97873       -18.37     7.7         0.2             0.0        0.00
    3          Valid   7/8  22/06/19  12:20:04  22/06/19  12:20:03.734     -0.266     23.94731   -106.97889       -24.44     1.6         0.5             0.0        0.00
    4          Valid   5/6  22/06/19  12:40:05  22/06/19  12:40:04.683     -0.317     23.94751   -106.97774       -25.66     1.2         0.8             0.0        0.00
    5          Valid   6/7  22/06/19  13:00:05  22/06/19  13:00:04.626     -0.374     23.94688   -106.97779       -27.00     1.8         0.8             0.0        0.00
    6          Valid   6/7  22/06/19  13:20:05  22/06/19  13:20:04.555     -0.445     23.94747   -106.97805       -19.34     3.2         1.3             0.0        0.00
    7          Valid   8/9  22/06/19  13:40:05  22/06/19  13:40:04.519     -0.481     23.94710   -106.97902       -25.96     1.2         0.6             0.0        0.00
    8          Valid   7/8  22/06/19  14:00:04  22/06/19  14:00:03.510     -0.490     23.94713   -106.97900       -27.14     1.5         0.5             0.0        0.00
    9          Valid   8/8  22/06/19  14:20:07  22/06/19  14:20:06.455     -0.545     23.94693   -106.97785       -26.00     1.1         1.3             0.0        0.00
   10          Valid   5/6  22/06/19  14:40:04  22/06/19  14:40:03.417     -0.583     23.94691   -106.97862       -25.38     2.1         0.5             0.0        0.00
   11          Valid   8/9  22/06/19  15:00:04  22/06/19  15:00:03.295     -0.705     23.94715   -106.97852       -29.57     1.2         1.0             0.0        0.00
   12          Valid   8/9  22/06/19  15:20:05  22/06/19  15:20:04.295     -0.705     23.94738   -106.97837       -28.65     1.2         1.3             0.0        0.00
   13          Valid   6/6  22/06/19  15:40:08  22/06/19  15:40:07.238     -0.762     23.94723   -106.97845       -19.79     5.9         0.5             0.0        0.00
